TAG,UNITE,DESCRIPTION
C00000001-A003-1-kVA L1-JTVA,W,Altitude commerciale (la conserverie)
C00000001-A003-1-kVA L2-JTVA,W,Altitude commerciale (la conserverie)
C00000001-A003-1-kVA L3-JTVA,W,Altitude commerciale (la conserverie)
C00000001-A003-1-kVA sys-JTVA,W,Altitude commerciale (la conserverie)
C00000001-A003-1-kW L1-JTW,W,Altitude commerciale (la conserverie)
C00000001-A003-1-kW L2-JTW,W,Altitude commerciale (la conserverie)
C00000001-A003-1-kW L3-JTW,W,Altitude commerciale (la conserverie)
C00000001-A003-1-kW sys-JTW,W,Altitude commerciale (la conserverie)
C00000001-A003-1-kWh (-)-JTWH,J,Altitude commerciale (la conserverie)
C00000001-A003-1-kWh-JTWH,J,Altitude commerciale (la conserverie)
C00000001-A003-1-kvar L1-JTVar,W,Altitude commerciale (la conserverie)
C00000001-A003-1-kvar L2-JTVar,W,Altitude commerciale (la conserverie)
C00000001-A003-1-kvar L3-JTVar,W,Altitude commerciale (la conserverie)
C00000001-A003-1-kvar sys-JTVar,W,Altitude commerciale (la conserverie)
C00000001-A003-1-kvarh-JTVarH,J,Altitude commerciale (la conserverie)
C00000002-B007-2-kVA L1-JTVA,W,Sibuet atelier (hall A billettes)
C00000002-B007-2-kVA L2-JTVA,W,Sibuet atelier (hall A billettes)
C00000002-B007-2-kVA L3-JTVA,W,Sibuet atelier (hall A billettes)
C00000002-B007-2-kVA sys-JTVA,W,Sibuet atelier (hall A billettes)
C00000002-B007-2-kW L1-JTW,W,Sibuet atelier (hall A billettes)
C00000002-B007-2-kW L2-JTW,W,Sibuet atelier (hall A billettes)
C00000002-B007-2-kW L3-JTW,W,Sibuet atelier (hall A billettes)
C00000002-B007-2-kW sys-JTW,W,Sibuet atelier (hall A billettes)
C00000002-B007-2-kWh (-)-JTWH,J,Sibuet atelier (hall A billettes)
C00000002-B007-2-kWh-JTWH,J,Sibuet atelier (hall A billettes)
C00000002-B007-2-kvar L1-JTVar,W,Sibuet atelier (hall A billettes)
C00000002-B007-2-kvar L2-JTVar,W,Sibuet atelier (hall A billettes)
C00000002-B007-2-kvar L3-JTVar,W,Sibuet atelier (hall A billettes)
C00000002-B007-2-kvar sys-JTVar,W,Sibuet atelier (hall A billettes)
C00000002-B007-2-kvarh-JTVarH,J,Sibuet atelier (hall A billettes)
C00000003-B001-3-kVA L1-JTVA,W,Sylfen
C00000003-B001-3-kVA L2-JTVA,W,Sylfen
C00000003-B001-3-kVA L3-JTVA,W,Sylfen
C00000003-B001-3-kVA sys-JTVA,W,Sylfen
C00000003-B001-3-kW L1-JTW,W,Sylfen
C00000003-B001-3-kW L2-JTW,W,Sylfen
C00000003-B001-3-kW L3-JTW,W,Sylfen
C00000003-B001-3-kW dmd-JTW,W,Sylfen
C00000003-B001-3-kW sys-JTW,W,Sylfen
C00000003-B001-3-kWh (-)-JTWH,J,Sylfen
C00000003-B001-3-kWh L1-JTWH,J,Sylfen
C00000003-B001-3-kWh L2-JTWH,J,Sylfen
C00000003-B001-3-kWh L3-JTWH,J,Sylfen
C00000003-B001-3-kWh-JTWH,J,Sylfen
C00000003-B001-3-kvar L1-JTVar,W,Sylfen
C00000003-B001-3-kvar L2-JTVar,W,Sylfen
C00000003-B001-3-kvar L3-JTVar,W,Sylfen
C00000003-B001-3-kvar sys-JTVar,W,Sylfen
C00000003-B001-3-kvarh (-)-JTVarH,J,Sylfen
C00000003-B001-3-kvarh-JTVarH,J,Sylfen
C00000004-A002-4-kVA L1-JTVA,W,Bureaux et communs administratif centraux rez de chaussée
C00000004-A002-4-kVA sys-JTVA,W,Bureaux et communs administratif centraux rez de chaussée
C00000004-A002-4-kW L1-JTW,W,Bureaux et communs administratif centraux rez de chaussée
C00000004-A002-4-kW sys-JTW,W,Bureaux et communs administratif centraux rez de chaussée
C00000004-A002-4-kWh (-) L1-JTWH,J,Bureaux et communs administratif centraux rez de chaussée
C00000004-A002-4-kWh (-)-JTWH,J,Bureaux et communs administratif centraux rez de chaussée
C00000004-A002-4-kWh L1-JTWH,J,Bureaux et communs administratif centraux rez de chaussée
