"class" "gene"
"1" "L2.3.IT" "Otof"
"2" "L2.3.IT" "Igsf11"
"3" "L2.3.IT" "Calb1"
"4" "L2.3.IT" "Rasgrf2"
"5" "L2.3.IT" "Prkg2"
"6" "L2.3.IT" "Evc2"
"7" "L2.3.IT" "Stard8"
"8" "L2.3.IT" "Mdga1"
"9" "L2.3.IT" "Agmat"
"10" "L2.3.IT" "Efcab1"
"11" "L2.3.IT" "Ccbe1"
"12" "L2.3.IT" "Igfn1"
"13" "L2.3.IT" "Prex1"
"14" "L2.3.IT" "Qrfpr"
"15" "L2.3.IT" "Tmc1"
"16" "L2.3.IT" "Ankrd6"
"17" "L2.3.IT" "Trpc6"
"18" "L2.3.IT" "Kcnk13"
"19" "L2.3.IT" "Cux2"
"20" "L2.3.IT" "Gm10754"
"21" "L2.3.IT" "Myh7"
"22" "L2.3.IT" "Gm42864"
"23" "L2.3.IT" "Emx2"
"24" "L2.3.IT" "Fam19a1"
"25" "L2.3.IT" "Emx2os"
"26" "L2.3.IT" "Syt17"
"27" "L2.3.IT" "Reln"
"28" "L2.3.IT" "Sertm1"
"29" "L2.3.IT" "Lpl"
"30" "L2.3.IT" "Pcdh8"
"31" "L2.3.IT" "Aldh3b1"
"32" "L2.3.IT" "Nectin3"
"33" "L2.3.IT" "Gucy1a1"
"34" "L2.3.IT" "Gucy1a3"
"35" "L2.3.IT" "Fst"
"36" "L2.3.IT" "Gm42722"
"37" "L2.3.IT" "Zfp536"
"38" "L2.3.IT" "Stc1"
"39" "L2.3.IT" "Enpp2"
"40" "L2.3.IT" "Synpr"
"41" "L2.3.IT" "Col19a1"
"42" "L2.3.IT" "Slc29a4"
"43" "L2.3.IT" "Rps6ka2"
"44" "L2.3.IT" "Col11a1"
"45" "L2.3.IT" "Palmd"
"46" "L2.3.IT" "Fam84a"
"47" "L2.3.IT" "Penk"
"48" "L2.3.IT" "Rgcc"
"49" "L2.3.IT" "9630002D21Rik"
"50" "L2.3.IT" "Pdyn"
"51" "L2.3.IT" "Pvrl3"
"52" "L2.3.IT" "Lrg1"
"53" "L2.3.IT" "Wfs1"
"54" "L2.3.IT" "Glis3"
"55" "L2.3.IT" "Cntnap5c"
"56" "L2.3.IT" "Fibcd1"
"57" "L2.3.IT" "Aldh1a3"
"58" "L2.3.IT" "Gm4876"
"59" "L2.3.IT" "Nos1"
"60" "L2.3.IT" "Arsj"
"61" "L2.3.IT" "Baz1a"
"62" "L2.3.IT" "Lamp5"
"63" "L2.3.IT" "Igfbp2"
"64" "L2.3.IT" "Htr7"
"65" "L2.3.IT" "Adrb3"
"66" "L2.3.IT" "Crispld1"
"67" "L2.3.IT" "Bicc1"
"68" "L2.3.IT" "Plk5"
"69" "L2.3.IT" "Npnt"
"70" "L2.3.IT" "Hspa1b"
"71" "L2.3.IT" "Lhfpl2"
"72" "L2.3.IT" "Ebf2"
"73" "L2.3.IT" "Oxtr"
"74" "L2.3.IT" "Gm30529"
"75" "L2.3.IT" "Gm10421"
"76" "L2.3.IT" "Gm31075"
"77" "L2.3.IT" "LOC105243894"
"78" "L2.3.IT" "B230216N24Rik"
"79" "L2.3.IT" "A530058N18Rik"
"80" "L2.3.IT" "Arhgap6"
"81" "L2.3.IT" "Tnfrsf8"
"82" "L2.3.IT" "Cdh7"
"83" "L2.3.IT" "Epb41l2"
"84" "L2.3.IT" "Itpkb"
"85" "L2.3.IT" "Spata13"
"86" "L2.3.IT" "Gm20754"
"87" "L2.3.IT" "Hpgd"
"88" "L2.3.IT" "Lifr"
"89" "L2.3.IT" "Adamts3"
"90" "L2.3.IT" "Zfhx4"
"91" "L2.3.IT" "Gm20063"
"92" "L2.3.IT" "Pifo"
"93" "L2.3.IT" "Gm765"
"94" "L2.3.IT" "Eya1"
"95" "L2.3.IT" "Arr3"
"96" "L2.3.IT" "Sag"
"97" "L2.3.IT" "Ddit4l"
"98" "L2.3.IT" "Grm1"
"99" "L2.3.IT" "S100a6"
"100" "L2.3.IT" "Tmem215"
"101" "L5.6.NP" "Tshz2"
"102" "L5.6.NP" "Nxph1"
"103" "L5.6.NP" "Trhr"
"104" "L5.6.NP" "Vwc2l"
"105" "L5.6.NP" "Kcnip1"
"106" "L5.6.NP" "Lcp1"
"107" "L5.6.NP" "Grik1"
"108" "L5.6.NP" "Dkk2"
"109" "L5.6.NP" "Unc13c"
"110" "L5.6.NP" "Slc17a8"
"111" "L5.6.NP" "Stard5"
"112" "L5.6.NP" "Rapgef3"
"113" "L5.6.NP" "Htr4"
"114" "L5.6.NP" "Lypd1"
"115" "L5.6.NP" "Htr2c"
"116" "L5.6.NP" "Etv1"
"117" "L5.6.NP" "9330158H04Rik"
"118" "L5.6.NP" "Tox2"
"119" "L5.6.NP" "Elfn1"
"120" "L5.6.NP" "Col24a1"
"121" "L5.6.NP" "Nxph3"
"122" "L5.6.NP" "Wscd1"
"123" "L5.6.NP" "Rasgrp2"
"124" "L5.6.NP" "Olfm3"
"125" "L5.6.NP" "Samd5"
"126" "L5.6.NP" "Ano5"
"127" "L5.6.NP" "Fezf2"
"128" "L5.6.NP" "Sema6a"
"129" "L5.6.NP" "Rnf152"
"130" "L5.6.NP" "Cntn6"
"131" "L5.6.NP" "Myl4"
"132" "L5.6.NP" "Mtss1"
"133" "L5.6.NP" "Efnb3"
"134" "L5.6.NP" "Neto2"
"135" "L5.6.NP" "Plcxd2"
"136" "L5.6.NP" "Spon1"
