league,livescore,footballapi,fun88,infobetting,short
epl,AFC Bournemouth,AFC Bournemouth,,,Bournemouth
epl,Aston Villa,Aston Villa FC,,,Aston Villa
epl,Arsenal,Arsenal FC,,,Arsenal
epl,Brighton & Hove Albion,Brighton & Hove Albion FC,,,Brighton
epl,Burnley,Burnley FC,,,Burnley
epl,Cardiff City,Cardiff City FC,,,Cardiff
epl,Chelsea,Chelsea FC,,,Chelsea
epl,Crystal Palace,Crystal Palace FC,,,Crystal Palace
epl,Everton,Everton FC,,,Everton
epl,Fulham,Fulham FC,,,Fulham
epl,Huddersfield Town,Huddersfield Town AFC,,,Huddersfield
epl,Leeds United,Leeds United FC,,,Leeds
epl,Leicester City,Leicester City FC,,,Leicester
epl,Liverpool,Liverpool FC,,,Liverpool
epl,Manchester City,Manchester City FC,,,Man City
epl,Manchester United,Manchester United FC,,,Man Utd
epl,Newcastle United,Newcastle United FC,,,Newcastle
epl,Norwich City,Norwich City FC,,,Norwich
epl,Sheffield United,Sheffield United FC,,,Sheffield Utd
epl,Southampton,Southampton FC,,,Southampton
epl,Tottenham Hotspur,Tottenham Hotspur FC,,,Spurs
epl,Watford,Watford FC,,,Watford
epl,West Ham United,West Ham United FC,,,West Ham
epl,West Bromwich Albion,West Bromwich Albion FC,,,WBA
epl,Wolverhampton Wanderers,Wolverhampton Wanderers FC,,,Wolve
ger,FC Koln,,,1. FC Koln,
ger,Arminia Bielefeld,,,Arminia Bielefeld,
ger,Augsburg,,,Augsburg,
ger,Bayern Munich,,,Bayern Munich,
ger,Borussia Dortmund,,,Borussia Dortmund,
ger,Borussia Moenchengladbach,,,Borussia Mönchengladbach,
ger,Eintracht Frankfurt,,,Eintracht Frankfurt,
ger,Freiburg,,,Freiburg,
ger,Hertha Berlin,,,Hertha BSC,
ger,Hoffenheim,,,Hoffenheim,
ger,Bayer Leverkusen,,,Leverkusen,
ger,Mainz,,,Mainz 05,
ger,RB Leipzig,,,RB Leipzig,
ger,Schalke 04,,,Schalke 04,
ger,VfB Stuttgart,,,Stuttgart,
ger,Union Berlin,,,Union Berlin,
ger,Werder Bremen,,,Werder,
ger,Wolfsburg,,,Wolfsburg,
