respid,intfreq,snsint2,q20,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,web1i,sns2a,sns2b,sns2c,sns2d,sns2e,device1b,device1c,device1d,cregion,sex,age,marital,educ2,emplnw,inc,party,partyln
116,3,1,2,2,2,1,2,2,1,1,2,2, , ,1, , ,2,1,2,1,2,50,1,5,4,98,9,9
117,2,1,3,2,1,1,2,1,2,1,1,2, ,5,1, ,2,1,1,1,3,2,72,1,8,3,9,1, 
121,2,1,3,2,2,1,2,1,2,2,2,2, , ,1, ,1,1,1,2,3,1,99,1,4,3,6,3,2
123,2,1,2,2,1,1,2,2,2,1,2,2, ,2,1, , ,1,1,2,2,2,40,1,6,1,7,2, 
124,4,1, ,1,2,1,1,2,1,2,2,1,3, ,3,4, ,2,2,1,3,2,23,2,3,4,1,2, 
125,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,2,1,27,6,2,1,6,9,8
127,2,1,2,2,2,1,2,1,2,2,1,2, , ,1, ,3,2,1,2,3,1,72,1,6,3,9,1, 
128,2,1,2,2,2,1,2,1,2,2,2,2, , ,5, ,4,1,1,1,2,1,56,1,5,1,8,2, 
135,5,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,4,2,82,5,6,4,9,1, 
136,2,1,3,2,2,1,2,1,2,1,1,2, , ,4, ,2,1,1,2,4,2,99,1,6,3,99,1, 
137,5,1,2,2,2,1,2,2,8,2,2,2, , ,3, , ,2,1,2,4,2,74,5,3,1,5,1, 
139,2,2,2,2,2,2,2,1,2,2,2,2, , , , ,2,1,1,2,4,1,63,1,5,3,5,1, 
142,1,1,2,1,1,1,2,1,1,1,2,2,1,1,4, ,4,2,1,2,4,2,38,6,8,1,9,3,2
148,2,1,3,2,2,1,2,1,2,1,2,2, , ,2, ,5,1,1,2,4,2,68,1,8,3,99,9,9
149,2,1,2,2,1,1,2,1,2,1,2,2, ,4,1, ,2,1,1,2,4,2,66,1,3,3,6,2, 
150,3,2, ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,4,1,38,1,4,1,4,5,1
152,2,2,2,2,2,2,2,1,2,1,2,2, , , , ,4,2,1,2,4,2,83,5,6,3,6,3,2
156,2,1,1,1,1,1,2,1,2,1,2,2,5,5,2, ,4,1,1,2,3,2,73,1,4,3,9,1, 
157,1,1,3,1,1,1,1,1,2,2,1,2,3,2,1,2,5,1,1,2,1,2,60,1,6,1,9,2, 
161,3,2, ,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,1,1,70,1,3,2,6,3,2
167,3,1, ,2,2,1,2,2,2,2,2,2, , ,2, , ,1,1,2,1,2,99,1,5,1,99,9,9
168,2,2,3,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,1,1,67,1,3,1,5,3,8
170,2,1,3,2,2,1,2,1,2,1,2,2, , ,3, ,3,1,1,2,3,2,52,1,7,1,8,2, 
171,1,1,3,2,2,1,2,1,1,2,2,1, , ,2, ,1,2,1,1,1,1,35,6,7,1,7,2, 
172,2,1,3,2,1,2,2,2,1,2,2,2, ,1, , , ,1,1,2,1,1,99,1,7,3,8,2, 
174,2,1,1,2,2,1,2,1,2,1,2,2, , ,3, ,2,1,1,2,3,2,43,6,2,4,1,2, 
175,3,1,2,2,2,1,2,1,2,2,2,2, , ,4, ,3,1,1,2,3,1,58,6,6,4,3,1, 
176,1,2,3,2,2,2,2,2,2,2,1,2, , , , , ,2,1,2,3,1,52,1,6,1,9,1, 
177,2,1,2,1,2,2,2,1,2,2,2,2,3, , , ,2,1,1,2,2,1,65,1,6,3,7,2, 
178,2,2, ,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,2,1,70,1,8,3,7,3,9
180,2,2, ,2,2,2,2,1,2,2,2,2, , , , ,2,2,1,2,2,1,50,1,4,1,7,4,2
183,3,1,1,2,2,1,2,1,2,2,2,2, , ,1, ,3,2,1,2,3,2,78,3,4,3,99,1, 
184,2,1, ,2,2,1,2,2,2,2,2,2, , ,2, , ,1,1,2,2,2,99,1,5,1,7,3,1
185,1,1,3,2,2,1,1,1,2,1,2,2, , ,1,1,3,2,1,1,2,2,30,6,5,1,99,1, 
187,2,1,3,2,1,1,2,2,2,2,2,2, ,3,2, , ,1,1,2,2,2,79,1,3,3,4,3,8
188,2,1,2,2,2,1,2,1,2,2,2,2, , ,1, ,2,1,1,1,2,2,38,1,6,1,6,1, 
189,2,1,3,2,2,1,2,2,2,2,2,2, , ,1, , ,1,2,1,4,2,74,5,3,3,5,1, 
198,3,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,4,1,82,1,3,3,7,2, 
199,1,1,1,2,2,1,2,1,2,2,1,2, , ,1, ,3,1,1,2,2,2,65,1,6,3,9,2, 
200,1,2,3,2,2,2,2,1,2,2,2,2, , , , ,3,2,1,1,3,1,35,1,5,1,7,4,1
203,1,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,4,1,47,1,7,1,3,8,8
208,2,1,2,2,2,1,2,1,2,2,2,2, , ,4, ,3,1,1,2,4,2,65,1,7,1,6,2, 
210,2,1,3,1,1,1,2,1,1,1,1,2,2,3,2, ,3,1,1,2,1,1,65,1,7,1,9,2, 
211,1,1,1,1,1,1,2,2,2,2,1,2,2,3,2, , ,1,1,2,1,2,71,1,6,1,9,1, 
214,4,2, ,2,2,2,2,2,2,2,2,2, , , , , ,1,2,1,3,2,79,5,3,3,6,2, 
215,3,2,1,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,1,2,99,1,8,3,7,2, 
216,2,2,1,2,2,2,2,2,1,2,2,2, , , , , ,1,1,2,1,2,64,1,8,3,99,1, 
217,3,1,3,2,2,1,2,2,2,1,2,2, , ,1, , ,1,1,2,2,2,71,1,6,3,2,9,9
218,1,1, ,2,2,1,2,1,2,1,2,2, , ,1, ,5,1,1,1,1,2,55,1,5,4,98,1, 
221,2,1,2,2,2,1,2,2,2,2,2,2, , ,1, , ,1,1,2,2,2,69,3,3,3,3,3,2
225,2,1,2,2,2,1,2,1,2,1,1,2, , ,2, ,2,1,1,2,4,2,60,1,8,1,9,3,1
229,2,1,2,1,1,1,2,1,2,1,1,2,3,4,3, ,2,1,1,2,1,2,65,1,5,1,9,2, 
231,1,1,2,2,2,1,2,1,2,2,1,2, , ,2, ,1,1,1,1,1,1,29,6,6,1,6,4,1
232,2,2, ,2,2,2,2,2,2,2,2,2, , , , , ,1,2,2,3,2,99,5,6,3,4,9,9
234,2,1,1,1,2,1,2,1,2,1,2,2,5, ,2, ,5,1,2,2,1,1,56,6,6,2,6,3,1
235,2,1,2,2,2,1,1,1,2,2,2,2, , ,2,3,4,2,1,1,3,1,50,1,5,1,6,1, 
236,2,1,3,2,2,1,2,1,2,1,1,2, , ,3, ,3,1,1,2,3,2,65,1,6,1,9,2, 
237,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,3,2,56,1,5,1,8,3,1
238,3,1,3,2,2,1,2,1,2,2,2,2, , ,3, ,4,1,1,2,2,2,49,1,6,1,8,1, 
239,2,1, ,2,1,1,2,1,2,1,1,2, ,5,1, ,4,1,1,2,3,2,72,1,5,3,7,2, 
241,2,1,1,1,1,1,2,1,2,2,2,2,1,5,2, ,3,1,1,2,3,1,80,1,6,3,99,3,2
242,2,1,1,2,2,1,2,1,2,2,1,2, , ,2, ,5,1,1,2,3,1,62,1,7,1,6,3,2
245,1,1,1,2,1,1,1,1,2,1,2,2, ,3,2,1,3,2,2,2,3,2,49,1,4,1,3,3,1
247,2,2,2,2,2,2,2,1,1,2,2,2, , , , ,3,2,1,2,4,1,70,1,6,3,99,2, 
249,2,1,2,2,1,1,2,1,8,1,1,2, ,3,1, ,4,1,1,2,4,2,77,3,7,5,7,2, 
251,4,2,2,2,2,2,2,1,2,2,2,2, , , , ,3,1,1,1,3,2,83,1,6,5,99,1, 
252,2,1,3,2,2,1,2,1,2,1,2,2, , ,2, ,3,1,1,1,3,2,78,1,5,3,8,1, 
253,2,1,1,1,2,1,2,1,2,2,1,2,3, ,2, ,3,1,1,2,3,1,62,1,8,1,9,1, 
260,1,1,2,2,1,1,2,1,1,1,2,2, ,1,1, ,2,1,2,1,1,2,33,1,7,1,8,2, 
261,2,1,1,2,2,1,2,2,2,1,1,2, , ,2, , ,1,1,1,1,2,52,1,3,1,4,3,2
262,1,1, ,2,1,1,1,1,2,1,2,2, ,1,2,1,2,1,1,2,1,2,18,6,3,4,5,3,2
265,1,2, ,2,2,2,2,1,2,2,1,2, , , , ,3,1,1,2,2,1,39,1,7,1,99,4,1
266,5,1, ,2,2,1,2,2,2,2,2,2, , ,1, , ,1,1,2,1,2,82,3,3,3,2,2, 
268,2,2,3,2,2,2,2,1,2,2,2,2, , , , ,3,2,1,2,3,1,67,1,5,3,5,3,8
271,3,1,1,2,1,1,2,1,2,1,2,2, ,4,3, ,5,1,2,1,3,2,70,2,8,3,9,3,2
272,2,2,1,2,2,1,1,1,2,2,2,2, , ,3,5,3,2,1,1,3,1,61,1,4,3,8,2, 
273,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2, ,3,1,1,1,2,2,54,6,6,1,5,2, 
275,1,1,3,2,2,1,2,1,2,2,1,2, , ,3, ,4,1,1,2,2,1,71,1,6,3,9,3,2
277,2,2,2,2,2,2,2,1,2,2,2,2, , , , ,2,1,1,1,4,1,35,1,5,4,5,2, 
279,2,1,1,2,2,1,2,1,2,1,2,2, , ,5, ,2,1,1,2,4,2,60,1,5,3,5,1, 
281,2,1,2,2,2,1,2,2,2,2,2,2, , ,2, , ,1,1,2,4,2,76,3,6,3,3,1, 
283,2,1,3,1,1,1,2,1,1,1,1,2,4,1,2, ,5,1,1,8,3,2,64,1,8,3,9,2, 
284,2,2,2,2,2,2,2,2,2,2,1,2, , , , , ,1,1,2,4,1,55,1,6,3,99,2, 
286,2,2,3,2,2,2,2,1,2,2,2,2, , , , ,3,1,1,1,4,1,70,1,6,3,3,2, 
287,4,1, ,2,2,1,2,1,2,2,2,2, , ,1, ,5,1,2,2,4,2,57,5,3,4,1,2, 
289,2,1,2,2,2,1,2,1,2,1,2,2, , ,1, ,4,1,1,2,3,2,64,1,6,3,7,1, 
290,2,1,3,2,2,1,2,1,2,1,1,2, , ,1, ,3,2,1,2,1,2,71,5,7,3,99,2, 
292,3,1, ,2,2,2,2,1,2,2,2,2, , , , ,3,2,1,2,3,1,71,1,2,3,99,9,9
293,2,1,3,2,1,1,2,1,2,1,1,2, ,3,1, ,5,1,1,2,3,2,70,1,4,3,8,2, 
294,1,1, ,2,2,1,2,1,2,2,2,2, , ,1, ,3,1,1,2,2,1,83,5,6,3,99,2, 
296,4,1,3,2,2,1,2,2,2,2,2,2, , ,3, , ,2,2,2,2,2,99,1,4,3,99,3,2
297,2,1,2,2,2,1,2,1,2,8,1,2, , ,3, ,5,1,1,2,2,2,99,9,7,2,99,9,2
298,1,1,3,2,1,1,1,1,2,2,2,2, ,1,1,5,5,1,1,1,4,2,99,9,6,1,99,9,9
301,1,1,3,1,1,2,2,1,1,1,2,2,3,1, , ,4,1,1,1,4,2,60,1,4,3,9,1, 
302,2,1,1,1,2,1,2,1,2,2,1,2,3, ,2, ,1,2,1,2,3,1,46,1,7,1,8,3,2
304,4,2,2,2,2,2,2,1,2,2,2,2, , , , ,5,1,1,2,3,2,63,1,3,2,99,1, 
309,2,1,1,2,1,1,1,1,2,1,1,2, ,2,1,2,1,1,1,1,2,2,46,3,7,1,4,2, 
313,2,1,2,2,2,1,2,1,2,1,1,2, , ,3, ,3,1,1,2,2,2,71,1,5,3,6,1, 
314,2,2,1,2,2,2,2,2,1,2,2,2, , , , , ,2,1,2,1,2,75,5,7,3,99,2, 
316,1,1,1,1,1,1,1,1,2,2,1,2,5,3,1,5,4,2,1,2,1,2,31,1,7,1,7,3,8
317,2,1, ,1,2,1,2,2,2,1,2,2,5, ,1, , ,1,1,2,1,2,54,1,3,2,4,2, 
318,2,1,3,2,2,1,2,2,2,2,1,2, , ,1, , ,1,1,2,2,2,66,6,5,3,4,1, 
320,3,2, ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,2,1,85,5,4,3,5,1, 
321,1,1,1,2,2,1,2,2,2,2,2,2, , ,1, , ,2,2,2,3,2,56,1,3,1,99,1, 
322,5,2, ,2,2,1,2,2,2,2,2,2, , ,8, , ,1,1,2,2,2,92,5,4,3,99,9,9
324,1,1,2,2,1,1,2,1,2,2,1,2, ,1,5, ,3,1,1,2,3,2,54,6,6,1,7,2, 
330,2,1,1,2,2,1,2,2,2,8,1,2, , ,3, , ,2,1,2,2,1,52,6,4,6,2,4,9
333,2,1, ,2,2,1,2,1,2,2,2,2, , ,3, ,3,1,1,1,2,2,29,1,5,2,5,1, 
334,2,1,1,2,1,1,2,2,2,2,2,2, ,5,1, , ,1,1,2,3,2,65,1,5,3,9,1, 
336,3,2,1,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,4,1,58,1,4,1,6,1, 
337,5,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,4,2,68,6,4,3,3,2, 
338,2,1,1,2,2,1,2,2,1,2,2,2, , ,1, , ,2,1,2,4,1,77,1,8,3,9,2, 
341,1,1,2,2,2,1,2,1,2,2,2,2, , ,2, ,2,1,1,2,3,1,59,1,6,1,99,8,8
342,2,2,2,2,2,2,2,1,2,2,1,2, , , , ,3,1,1,2,2,1,53,1,6,1,8,3,1
343,2,1, ,2,2,1,2,1,1,1,1,2, , ,2, ,2,1,1,2,4,1,55,1,6,3,7,3,2
345,2,2,2,2,2,2,2,1,2,1,2,2, , , , ,4,2,1,2,3,2,70,5,3,3,99,3,2
346,2,1,2,1,1,1,2,1,1,1,1,2,4,3,5, ,2,1,1,2,2,2,55,1,6,1,99,9,9
347,3,2,2,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,3,2,65,5,4,1,5,4,8
348,5,2, ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,2,2,99,1,8,3,99,9,9
349,2,2,2,2,2,2,2,1,2,2,2,2, , , , ,5,1,1,2,4,2,74,6,7,2,6,1, 
352,1,1,3,1,1,1,2,2,1,1,1,2,1,1,1, , ,1,1,2,1,2,57,1,6,1,9,1, 
354,2,2, ,2,2,2,2,1,2,2,2,2, , , , ,3,1,1,2,4,1,66,1,8,3,9,3,1
356,2,1,2,2,1,1,2,1,2,1,2,2, ,1,2, ,5,1,1,2,3,2,60,3,6,1,6,1, 
357,2,1,2,1,1,1,1,1,2,2,2,2,4,5,1,5,3,1,1,2,3,1,59,1,4,3,7,2, 
358,1,1,2,2,1,1,1,1,2,2,2,2, ,1,1,1,1,1,1,2,3,2,64,3,6,1,7,3,2
359,3,2, ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,4,2,71,3,6,3,3,2, 
361,1,1,2,2,1,1,2,1,2,1,1,2, ,3,3, ,4,1,1,2,1,2,61,1,3,1,7,1, 
363,3,2,2,2,1,1,2,1,2,2,2,2, ,2,1, ,2,1,1,2,2,1,88,5,4,3,9,1, 
364,2,1,1,2,2,1,2,1,1,2,2,2, , ,1, ,2,1,1,2,4,2,35,1,8,1,8,2, 
367,2,1,1,1,2,1,2,1,1,2,1,2,3, ,3, ,1,1,1,2,4,1,35,1,4,1,8,3,2
368,2,1,2,1,1,1,2,1,2,2,1,1,1,3,1, ,3,1,1,1,4,1,49,1,6,2,6,2, 
369,1,2,2,2,2,2,2,1,1,2,2,2, , , , ,5,1,1,1,3,1,59,1,6,1,2,1, 
370,2,1,1,1,2,1,2,1,2,2,1,2,1, ,3, ,1,1,1,1,3,1,46,1,5,1,8,2, 
371,2,1,3,2,2,1,2,2,2,2,2,2, , ,3, , ,1,1,2,3,2,63,1,4,3,8,3,1
372,2,1,3,1,1,1,2,1,2,2,2,2,2,2,2, ,4,1,1,2,4,2,24,1,8,1,9,2, 
373,5,2, ,2,2,1,2,1,2,2,2,2, , ,2, ,2,2,1,2,2,2,65,5,2,6,6,4,2
374,2,1,3,2,2,1,2,1,2,1,2,2, , ,3, ,5,1,1,2,2,2,64,1,5,1,8,2, 
375,3,2,2,2,2,2,2,1,2,2,1,2, , , , ,3,1,1,2,4,2,49,6,3,1,5,4,9
378,2,1,2,2,2,1,2,1,2,2,2,2, , ,2, ,2,1,1,2,1,1,68,1,6,3,8,2, 
381,4,1, ,2,2,1,2,1,2,2,2,2, , ,2, ,5,1,1,2,3,2,78,5,4,3,3,3,1
382,3,2,2,2,2,2,2,1,2,2,2,2, , , , ,1,1,1,2,3,1,53,3,6,5,99,3,8
387,2,1,3,2,2,1,2,1,1,1,2,2, , ,3, ,3,1,1,2,3,1,65,1,6,3,8,1, 
389,2,2,3,2,2,2,2,1,2,2,1,2, , , , ,5,2,1,2,3,1,99,1,3,5,99,1, 
100001,2,1,2,1,1,1,2,1,2,2,2,2,5,4,3, ,3,1,1,1,3,1,78,1,6,3,7,1, 
100004,2,1,2,2,2,1,2,2,2,2,2,2, , ,2, , ,2,1,2,3,2,65,3,6,3,99,3,2
100005,2,1,3,2,1,2,1,1,2,2,2,2, ,3, ,3,1,2,2,1,2,1,21,6,3,1,2,3,2
100007,2,2,3,2,2,1,2,1,2,2,1,2, , ,5, ,3,1,1,1,2,1,66,1,3,3,8,1, 
100009,2,1,1,2,2,1,1,1,1,1,1,2, , ,1,5,3,2,1,1,3,2,41,2,6,4,3,3,9
100014,1,1,1,2,1,2,2,1,2,2,2,2, ,1, , ,1,2,1,2,1,2,20,6,3,2,3,3,2
100015,2,1,1,1,1,1,2,1,2,1,1,2,3,2,2, ,3,2,1,2,2,2,53,1,3,1,9,3,1
100016,1,1,2,1,2,1,1,1,1,2,1,1,5, ,3,5,1,2,1,2,1,1,27,6,6,1,8,3,2
100017,2,1,3,2,2,1,2,1,1,1,2,2, , ,2, ,3,1,1,1,1,2,43,1,6,1,8,2, 
100019,2,2,2,2,2,2,2,1,2,2,2,2, , , , ,2,1,1,1,3,1,46,1,4,1,6,1, 
100021,3,1,1,2,2,1,2,1,2,2,2,2, , ,9, ,3,2,1,2,2,1,58,6,3,1,99,1, 
100026,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,2,2,3,2,27,6,3,4,1,2, 
100027,1,1,3,1,2,1,2,1,1,1,1,2,4, ,1, ,5,2,1,2,3,2,60,1,6,2,99,3,1
100031,1,1,1,2,2,1,2,1,2,2,2,2, , ,2, ,1,2,1,2,2,1,61,1,3,1,6,2, 
100032,2,1,3,2,2,1,2,1,1,2,2,2, , ,2, ,3,1,1,2,2,2,32,1,3,1,4,4,1
100036,2,1,2,2,2,1,2,1,2,2,2,2, , ,2, ,2,1,1,2,2,1,69,1,6,3,7,3,2
100038,2,1,1,2,2,1,2,1,1,2,2,2, , ,1, ,1,1,1,1,3,1,49,1,6,1,9,3,1
100043,3,1,1,2,2,1,2,1,2,2,2,2, , ,3, ,4,2,1,2,3,2,47,6,4,6,2,5,1
100045,2,2, ,2,2,2,2,1,2,2,2,2, , , , ,5,2,2,2,3,2,65,5,4,3,5,2, 
100046,2,1,3,2,2,1,2,1,8,2,1,8, , ,3, ,2,1,1,1,3,2,37,1,4,1,2,1, 
100047,2,1,2,1,1,1,2,1,2,2,1,2,5,4,2, ,5,1,1,2,1,1,60,6,7,5,99,3,2
100050,3,1,1,2,2,1,2,1,2,2,2,2, , ,1, ,3,1,1,1,3,1,54,2,3,3,6,3,9
100052,1,1,1,2,1,1,2,1,2,2,2,2, ,1,1, ,3,1,1,2,1,1,50,1,6,3,6,1, 
100054,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,3,1,82,4,6,3,3,3,2
100055,3,1,1,2,1,1,1,1,1,2,2,2, ,5,4,3,2,2,1,1,1,1,25,6,3,1,4,3,1
100058,1,2,2,2,2,1,2,1,2,2,1,2, , ,5, ,1,1,1,1,3,2,29,6,5,4,1,3,2
100059,2,1,2,1,2,1,2,1,2,2,2,2,2, ,1, ,3,1,1,1,3,1,56,1,4,1,7,1, 
100060,1,1,3,2,1,1,1,1,2,2,2,2, ,2,1,3,3,1,1,2,3,1,45,6,3,1,7,2, 
100061,1,1,2,1,1,1,1,1,1,2,1,1,2,4,2,4,2,1,1,1,3,1,99,9,6,1,99,3,9
100063,2,1,2,1,2,1,2,1,2,2,1,2,5, ,3, ,3,2,1,1,1,2,64,1,6,5,3,2, 
100066,2,1,1,2,2,1,2,1,2,2,2,2, , ,1, ,1,2,1,2,3,1,25,6,3,1,3,5,8
100067,1,1,2,2,2,1,2,2,2,1,2,2, , ,3, , ,1,1,1,3,2,52,1,7,3,99,1, 
