respid,intfreq,snsint2,q20,web1a,web1b,web1c,web1d,web1e,web1f,web1g,web1h,web1i,sns2a,sns2b,sns2c,sns2d,sns2e,device1b,device1c,device1d,cregion,sex,age,marital,educ2,emplnw,inc,party,partyln
4,5,1,1,2,2,1,2,1,2,2,2,2, , ,1, ,5,2,2,2,3,2,75,1,3,4,3,2, 
7,2,2,2,2,2,2,2,2,2,1,2,2, , , , , ,1,1,1,2,1,56,1,4,1,8,1, 
9,2,1,1,1,1,1,2,1,2,1,1,2,2,4,3, ,5,1,1,2,1,2,65,1,6,3,7,1, 
11,4,1, ,2,2,1,2,1,2,2,2,2, , ,3, ,5,1,1,2,2,1,64,1,5,1,7,3,1
13,1,1, ,2,1,1,2,1,2,1,2,2, ,3,1, ,1,2,1,1,1,2,33,6,3,4,1,3,1
14,2,1,3,1,2,1,2,1,1,2,2,2,3, ,2, ,3,2,1,2,1,1,50,3,5,3,4,3,2
16,2,1,1,2,2,1,2,1,2,1,2,2, , ,2, ,2,2,1,2,2,2,70,1,4,3,7,1, 
17,1,2,2,2,2,2,2,1,2,2,2,2, , , , ,4,1,1,2,2,1,60,1,8,1,9,1, 
18,2,2, ,2,2,2,2,1,2,2,2,2, , , , ,2,1,1,1,3,2,62,1,8,2,99,2, 
20,2,1,2,2,2,1,2,2,2,2,2,2, , ,1, , ,1,1,2,3,1,71,2,6,3,99,9,9
21,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,1,1,1,2,1,55,1,3,1,9,3,1
22,1,1,2,1,2,1,2,1,2,1,1,2,5, ,1, ,1,1,1,1,3,1,56,1,5,1,9,1, 
27,5,2, ,2,2,1,2,2,2,2,2,2, , ,5, , ,1,2,2,2,2,87,5,4,3,4,3,2
30,2,1,2,2,2,1,2,1,1,1,1,1, , ,2, ,4,1,1,2,2,1,62,5,8,2,9,2, 
32,3,1,2,2,2,1,2,2,2,1,2,2, , ,2, , ,1,1,2,3,2,68,1,5,3,5,2, 
34,5,2, ,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,3,2,78,5,3,3,1,3,8
37,1,2,3,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,4,2,72,9,4,3,6,1, 
38,2,1,3,2,2,1,2,1,2,2,2,2, , ,5, ,3,1,1,2,4,1,65,1,6,99,99,9,9
40,2,1,1,2,1,1,2,1,2,2,2,2, ,3,3, ,3,2,1,2,3,1,37,3,3,1,4,3,1
41,3,1, ,2,1,1,2,2,2,2,2,2, ,2,1, , ,1,1,2,1,2,85,1,3,3,98,2, 
42,2,1,2,2,2,1,2,1,2,1,2,2, , ,1, ,3,1,1,2,3,2,66,1,5,3,99,1, 
44,3,1,4,2,2,1,2,1,2,1,1,2, , ,2, ,2,2,1,1,3,2,41,1,6,4,7,1, 
45,2,1,1,2,2,1,2,1,2,2,2,2, , ,1, ,1,1,2,1,3,2,50,3,3,1,5,2, 
46,1,1, ,2,2,1,2,1,2,2,2,2, , ,1, ,1,2,2,2,3,2,79,3,6,3,4,2, 
47,2,1, ,2,1,1,2,1,2,2,2,1, ,3,1, ,4,1,1,2,1,2,72,5,7,3,4,2, 
48,1,2,2,2,2,1,2,2,2,2,2,2, , ,5, , ,1,1,2,3,1,78,3,6,3,6,1, 
49,3,2, ,1,2,1,2,1,2,2,2,2,2, ,2, ,3,2,1,2,1,1,71,1,4,3,4,3,2
50,1,1,1,1,1,1,2,1,1,1,2,1,1,3,3, ,1,1,1,2,1,2,44,3,4,3,2,2, 
51,1,1,1,2,1,1,2,1,2,1,1,1, ,4,1, ,1,1,1,1,3,2,68,3,6,3,9,2, 
53,1,1,3,2,2,1,2,1,2,2,2,2, , ,5, ,5,1,1,2,1,2,66,1,7,1,99,3,2
55,2,1,2,2,2,1,2,1,2,2,2,2, , ,1, ,5,2,1,2,3,2,63,3,4,3,9,2, 
58,2,1, ,2,1,1,2,1,2,1,2,2, ,2,1, ,2,1,1,2,3,2,99,1,7,3,99,1, 
62,4,1, ,2,2,1,2,1,2,1,2,2, , ,3, ,3,1,1,2,2,2,78,5,5,4,5,1, 
63,2,1,3,1,2,1,2,1,2,2,2,2,3, ,1, ,3,1,1,1,1,1,49,1,3,4,3,3,2
65,2,2,3,2,2,2,2,1,2,1,2,2, , , , ,2,1,1,1,2,1,41,1,4,1,9,2, 
68,2,1,2,2,2,1,2,2,2,2,2,2, , ,2, , ,1,1,1,2,2,62,1,3,3,6,3,8
69,2,1,1,2,1,1,2,1,2,1,2,2, ,2,2, ,2,1,1,2,2,2,68,1,8,3,99,2, 
71,3,1,2,2,2,1,2,1,2,1,1,2, , ,2, ,3,1,1,1,3,2,56,1,4,6,6,3,1
72,5,1, ,2,2,1,2,1,2,2,2,2, , ,1, ,1,1,2,2,3,2,59,1,2,4,1,2, 
75,2,1,1,2,2,1,2,1,2,1,1,2, , ,3, ,4,1,1,1,3,2,58,1,7,1,9,1, 
76,1,1,3,1,1,1,1,1,2,1,1,2,2,1,1,3,1,2,1,2,1,2,57,1,7,1,8,3,2
80,2,2,2,2,2,2,2,2,2,2,2,2, , , , , ,1,2,2,3,1,65,1,6,3,7,2, 
81,2,1,2,2,2,1,2,2,1,2,1,2, , ,3, , ,1,1,2,2,2,73,1,8,3,7,2, 
85,4,1,2,2,2,1,2,1,2,2,1,2, , ,2, ,4,1,1,2,2,1,50,6,6,1,7,2, 
86,4,1,1,2,2,1,1,2,2,2,2,2, , ,3,3, ,2,2,2,3,2,72,5,5,4,9,3,1
90,3,1, ,2,2,1,2,1,2,1,2,2, , ,2, ,1,1,1,2,4,2,60,3,4,6,2,3,8
91,4,1,1,2,1,1,2,2,2,2,2,2, ,5,1, , ,2,2,2,4,2,43,3,4,1,3,3,1
93,3,1,1,2,2,1,2,2,2,2,2,2, , ,2, , ,2,2,2,2,2,99,2,3,4,1,1, 
95,2,1,3,2,2,1,2,1,2,1,2,2, , ,3, ,4,2,2,2,3,2,57,3,3,1,5,2, 
96,2,1, ,1,2,1,1,1,2,1,2,2,1, ,2,5,2,1,1,1,3,1,79,1,6,3,8,1, 
98,2,1,3,1,2,1,2,1,2,1,2,2,4, ,2, ,3,1,1,2,1,2,71,1,7,3,6,1, 
101,2,1,2,1,2,1,2,1,2,2,2,2,1, ,1, ,2,1,1,1,3,2,39,1,7,1,6,2, 
102,1,2, ,2,2,2,2,2,2,2,2,2, , , , , ,2,1,2,3,2,58,1,7,1,6,3,2
103,2,1,2,2,2,1,2,2,2,2,2,2, , ,1, , ,1,1,2,1,2,53,6,7,1,8,2, 
105,2,1, ,2,2,1,2,2,2,2,2,2, , ,1, , ,1,2,2,3,2,79,1,3,3,99,3,2
109,5,1,2,2,2,1,2,1,2,1,2,2, , ,5, ,5,1,2,2,3,2,48,1,6,1,7,2, 
110,2,1, ,2,2,1,2,1,2,2,2,2, , ,2, ,1,2,1,2,3,2,51,1,4,3,1,1, 
111,2,2,1,2,2,2,2,2,2,2,2,2, , , , , ,1,1,2,2,1,55,1,3,1,99,9,9
114,2,1,1,2,2,1,1,1,2,2,2,2, , ,1,1,3,2,2,1,1,1,18,6,2,2,1,3,8
