AdmUnitId,Name,Einwohnerzahl,ObjectId
01001,SK Flensburg,90164,18
01002,SK Kiel,246794,19
01003,SK Lübeck,216530,20
01004,SK Neumünster,80196,21
01051,LK Dithmarschen,133193,22
01053,LK Herzogtum Lauenburg,198019,23
01054,LK Nordfriesland,165951,24
01055,LK Ostholstein,200539,25
01056,LK Pinneberg,316103,26
01057,LK Plön,128686,27
01058,LK Rendsburg-Eckernförde,274098,28
01059,LK Schleswig-Flensburg,201156,29
01060,LK Segeberg,277175,30
01061,LK Steinburg,131013,31
01062,LK Stormarn,244156,32
02000,SK Hamburg,1847253,33
03101,SK Braunschweig,249406,34
03102,SK Salzgitter,104291,35
03103,SK Wolfsburg,124371,36
03151,LK Gifhorn,176523,37
03153,LK Goslar,136292,38
03154,LK Helmstedt,91297,39
03155,LK Northeim,132285,40
03157,LK Peine,134801,41
03158,LK Wolfenbüttel,119622,42
03159,LK Göttingen,326041,43
03241,Region Hannover,1157115,44
03251,LK Diepholz,217089,45
03252,LK Hameln-Pyrmont,148549,46
03254,LK Hildesheim,275817,47
03255,LK Holzminden,70458,48
03256,LK Nienburg (Weser),121390,49
03257,LK Schaumburg,157820,50
03351,LK Celle,179011,151
03352,LK Cuxhaven,198038,152
03353,LK Harburg,254431,153
03354,LK Lüchow-Dannenberg,48412,154
03355,LK Lüneburg,184139,155
03356,LK Osterholz,113928,156
03357,LK Rotenburg (Wümme),163782,157
03358,LK Heidekreis,140673,158
03359,LK Stade,204512,159
03360,LK Uelzen,92389,160
03361,LK Verden,137133,161
03401,SK Delmenhorst,77559,162
03402,SK Emden,49913,163
03403,SK Oldenburg,169077,164
03404,SK Osnabrück,165251,165
03405,SK Wilhelmshaven,76089,166
03451,LK Ammerland,124859,167
03452,LK Aurich,189694,168
03453,LK Cloppenburg,170682,169
03454,LK Emsland,326954,170
03455,LK Friesland,98704,171
03456,LK Grafschaft Bentheim,137162,172
03457,LK Leer,170756,173
03458,LK Oldenburg,130890,174
03459,LK Osnabrück,358080,175
03460,LK Vechta,142814,176
