hour_of_year,temperature_in,day_of_year
1,65.2915625,1
2,65.1061875,1
3,64.9857291666667,1
4,65.2238541666667,1
5,65.25875,1
6,65.2514791666667,1
7,65.6012291666667,1
8,65.7868125,1
9,66.0734166666667,1
10,66.2778958333333,1
11,66.2063125,1
12,66.3498333333333,1
13,66.3431875,1
14,66.3864166666667,1
15,66.7108125,1
16,67.3511875,1
17,68.1484583333333,1
18,68.4638541666667,1
19,68.5113958333333,1
20,68.1436458333333,1
21,67.84775,1
22,67.7248333333333,1
23,67.6043958333333,1
24,67.0495,1
25,66.2134166666667,2
26,65.6171041666667,2
27,65.1926458333333,2
28,65.154375,2
29,65.3300416666667,2
30,65.3906666666667,2
31,66.2433541666667,2
32,66.7323541666667,2
33,67.0840625,2
34,66.8320625,2
35,66.9904166666667,2
36,67.087625,2
37,67.212875,2
38,67.233125,2
39,67.552375,2
40,67.7148333333333,2
41,67.530125,2
42,67.8525625,2
43,67.9425208333333,2
44,68.0275833333333,2
45,68.02925,2
46,68.0936875,2
47,67.5043125,2
48,66.8314583333333,2
49,66.2415208333333,3
50,66.15675,3
51,66.337,3
52,66.4700208333333,3
53,66.2932708333333,3
54,66.1736041666667,3
55,66.2905416666667,3
56,66.9577708333333,3
57,67.8635625,3
58,67.8225,3
59,67.5454583333333,3
60,67.43075,3
61,67.1688125,3
62,67.1186666666667,3
63,67.1969791666667,3
64,67.1810208333333,3
65,67.2240625,3
66,67.3260416666667,3
67,67.0023125,3
68,67.1967708333333,3
69,66.9872083333333,3
70,66.896,3
71,66.853,3
72,66.4183125,3
73,66.0827708333333,4
74,65.9666666666667,4
75,66.0166458333333,4
76,66.0640416666667,4
77,66.0668125,4
78,66.0647916666667,4
79,66.0022708333333,4
80,66.3929166666667,4
81,66.7165,4
82,66.8487916666667,4
83,67.139875,4
84,67.307,4
85,67.36575,4
86,67.554375,4
87,67.4832708333333,4
88,68.1866041666667,4
89,68.0799166666667,4
90,68.5514375,4
91,68.5776875,4
92,68.4282916666667,4
93,68.6315208333333,4
94,68.7793125,4
95,68.5742916666667,4
96,68.1631875,4
97,68.01675,5
98,68.1469583333333,5
99,68.1335416666667,5
100,68.1470833333333,5
101,68.2293541666667,5
102,68.2997708333333,5
103,68.3649166666667,5
104,69.3195833333333,5
105,69.7765208333333,5
106,69.3557291666667,5
107,69.47575,5
108,69.7265833333333,5
109,69.5893125,5
110,69.7047083333333,5
111,69.6921041666667,5
112,69.5256666666667,5
113,69.5123541666667,5
114,69.7685625,5
115,69.6734791666667,5
116,69.4652708333333,5
117,69.5694166666667,5
118,69.53325,5
119,69.1241666666667,5
120,68.3542916666667,5
121,67.8696041666667,6
122,67.4498333333333,6
123,67.1712291666667,6
124,67.1322083333333,6
125,67.1106458333333,6
126,66.9964791666667,6
127,67.0418541666667,6
128,67.5495833333333,6
129,69.3838125,6
130,69.5317291666667,6
131,68.6631666666667,6
132,68.2493541666667,6
133,68.09575,6
134,68.3745625,6
135,68.4866875,6
136,68.5455,6
137,68.4704375,6
138,68.7350833333333,6
139,69.6785208333333,6
140,70.0615208333333,6
141,70.2627291666667,6
142,70.1008333333333,6
143,69.5391041666667,6
144,68.8836875,6
145,68.6116875,7
146,68.4043333333333,7
147,68.1157708333333,7
148,67.8734791666667,7
149,67.7312083333333,7
150,67.728875,7
151,68.1836041666667,7
152,69.2507291666667,7
153,69.6452916666667,7
154,69.6521041666667,7
155,69.68825,7
156,69.6797291666667,7
157,69.7419791666667,7
158,69.8667708333333,7
159,69.6571875,7
160,69.8131875,7
161,69.841125,7
162,69.8887708333333,7
163,70.1469375,7
164,70.33125,7
165,70.245,7
166,70.24575,7
167,70.1357708333333,7
168,69.5279166666667,7
169,68.8897708333333,8
170,68.5444583333333,8
171,68.1435208333333,8
172,67.8372291666667,8
173,67.797875,8
174,67.7081875,8
175,68.0357708333333,8
176,68.9341875,8
177,69.2876875,8
178,69.1959375,8
179,68.7714791666667,8
180,68.8950833333333,8
181,69.171875,8
182,69.3892916666667,8
183,69.3952291666667,8
184,69.2555833333333,8
185,69.1654375,8
186,69.0576666666667,8
187,69.364375,8
188,69.3546875,8
189,69.3209791666667,8
190,69.3607708333333,8
191,69.3961041666667,8
192,68.8487083333333,8
193,68.3709583333333,9
194,67.9406458333333,9
195,67.5083541666667,9
196,67.2830833333333,9
197,67.1838125,9
198,67.217625,9
199,67.396,9
200,68.9538333333333,9
201,69.485875,9
202,69.2040416666667,9
203,69.0817291666667,9
204,68.9729375,9
205,69.0335208333333,9
206,69.0290416666667,9
207,68.8834791666667,9
208,68.9317291666667,9
209,68.996125,9
210,68.9210625,9
211,68.7926666666667,9
212,68.7323541666667,9
213,68.6885,9
214,68.9287708333333,9
215,68.4390833333333,9
