static,type,description,field
TRUE,string,Standard and Poor's Identifier (GVKEY),gvkey
TRUE,string,Security-level Identifier (LIID),liid
TRUE,date,First Effective Date of Link (LINKDT),linkdt
TRUE,date,Last Effective Date of Link (LINKENDDT),linkenddt
TRUE,string,Primary Link Marker (LINKPRIM),linkprim
TRUE,string,Link Type Code (LINKTYPE),linktype
TRUE,double,Historical CRSP PERMCO Link to COMPUSTAT Record (LPERMCO),lpermco
TRUE,double,Historical CRSP PERMNO Link to COMPUSTAT Record (LPERMNO),lpermno
TRUE,string,Company Name (CONM),conm
TRUE,string,Ticker Symbol (TIC),tic
TRUE,string,CUSIP (CUSIP),cusip
TRUE,string,CIK Number (CIK),cik
TRUE,double,Stock Exchange Code (EXCHG),exchg
TRUE,string,Security Status Market (SECSTAT),secstat
TRUE,string,Foreign Incorporation Code (FIC),fic
TRUE,string,Issue Type Code (TPCI),tpci
TRUE,string,ADD1 -- Address Line 1 (ADD1),add1
TRUE,string,ADD2 -- Address Line 2 (ADD2),add2
TRUE,string,ADD3 -- Address Line 3 (ADD3),add3
TRUE,string,ADD4 -- Address Line 4 (ADD4),add4
TRUE,string,ADDZIP -- Postal Code (ADDZIP),addzip
TRUE,string,BUSDESC -- S&P Business Description (BUSDESC),busdesc
TRUE,string,CITY -- City (CITY),city
TRUE,string,CONML -- Company Legal Name (CONML),conml
TRUE,string,COSTAT -- Active/Inactive Status Marker (COSTAT),costat
TRUE,string,COUNTY -- County Code (COUNTY),county
TRUE,date,DLDTE -- Research Company Deletion Date (DLDTE),dldte
TRUE,string,DLRSN -- Research Co Reason for Deletion (DLRSN),dlrsn
TRUE,string,EIN -- Employer Identification Number (EIN),ein
TRUE,string,FAX -- Fax Number (FAX),fax
TRUE,double,FYRC -- Current Fiscal Year End Month (FYRC),fyrc
TRUE,double,GGROUP -- GIC Groups (GGROUP),ggroup
TRUE,string,GIND -- GIC Industries (GIND),gind
TRUE,double,GSECTOR -- GIC Sectors (GSECTOR),gsector
TRUE,double,GSUBIND -- GIC Sub-Industries (GSUBIND),gsubind
TRUE,string,"IDBFLAG -- International, Domestic, Both Indicator (IDBFLAG)",idbflag
TRUE,string,INCORP -- Current State/Province of Incorporation Code (INCORP),incorp
TRUE,date,IPODATE -- Company Initial Public Offering Date (IPODATE),ipodate
TRUE,string,LOC -- Current ISO Country Code - Headquarters (LOC),loc
TRUE,string,NAICS -- North American Industry Classification Code (NAICS),naics
TRUE,string,PHONE -- Phone Number (PHONE),phone
TRUE,string,PRICAN -- Current Primary Issue Tag - Canada (PRICAN),prican
TRUE,string,PRIROW -- Primary Issue Tag - Rest of World (PRIROW),prirow
TRUE,string,PRIUSA -- Current Primary Issue Tag - US (PRIUSA),priusa
TRUE,string,SIC -- Standard Industry Classification Code (SIC),sic
TRUE,double,SPCINDCD -- S&P Industry Sector Code (SPCINDCD),spcindcd
TRUE,double,SPCSECCD -- S&P Economic Sector Code (SPCSECCD),spcseccd
TRUE,string,SPCSRC -- S&P Quality Ranking - Current (SPCSRC),spcsrc
TRUE,string,STATE -- State/Province (STATE),state
TRUE,double,STKO -- Stock Ownership Code (STKO),stko
TRUE,string,WEBURL -- Web URL (WEBURL),weburl
FALSE,date,date the observation occurred on,datadate
FALSE,double,ADRRC -- ADR Ratio - Daily (ADRRC),adrrc
FALSE,double,AJEXDI -- Adjustment Factor (Issue)-Cumulative by Ex-Date (AJEXDI),ajexdi
FALSE,date,ANNCDATE -- Dividend Declaration Date (ANNCDATE),anncdate
FALSE,double,CAPGN -- Capital Gains - Daily (CAPGN),capgn
FALSE,date,CAPGNPAYDATE -- Capital Gains Payment Date (CAPGNPAYDATE),capgnpaydate
FALSE,double,CHEQV -- Cash Equivalent Distributions (CHEQV),cheqv
FALSE,date,CHEQVPAYDATE -- Cash Equivalent Distributions per Share Payment Date (CHEQVPAYDATE),cheqvpaydate
FALSE,double,CSHOC -- Shares Outstanding (CSHOC),cshoc
FALSE,double,CSHTRD -- Trading Volume - Daily (CSHTRD),cshtrd
FALSE,string,CURCDD -- ISO Currency Code - Daily (CURCDD),curcdd
FALSE,string,CURCDDV -- ISO Currency Code - Dividend (CURCDDV),curcddv
FALSE,double,DIV -- Dividends per Share - Ex Date - Daily (Issue) (DIV),div
FALSE,double,DIVD -- Cash Dividends - Daily (DIVD),divd
FALSE,date,DIVDPAYDATE -- Cash Dividends - Daily Payment Date (DIVDPAYDATE),divdpaydate
FALSE,string,DIVDPAYDATEIND -- Cash Dividends - Daily Payment Date Indicator (DIVDPAYDATEIND),divdpaydateind
FALSE,double,DIVSP -- Special Cash Dividends - Daily (DIVSP),divsp
FALSE,date,DIVSPPAYDATE -- Special Cash Dividends - Daily Payment Date (DIVSPPAYDATE),divsppaydate
FALSE,double,DVI -- Indicated Annual Dividend - Current (DVI),dvi
FALSE,double,DVRATED -- Indicated Annual Dividend Rate - Daily (DVRATED),dvrated
FALSE,double,EPS -- Current EPS (EPS),eps
FALSE,double,EPSMO -- Current EPS Month (EPSMO),epsmo
FALSE,string,IID -- Issue ID - Dividends (IID),iid
FALSE,date,PAYDATE -- Dividend Payment Date (PAYDATE),paydate
FALSE,string,PAYDATEIND -- Dividend Payment Date Indicator (PAYDATEIND),paydateind
FALSE,double,PRCCD -- Price - Close - Daily (PRCCD),prccd
FALSE,double,PRCHD -- Price - High - Daily (PRCHD),prchd
FALSE,double,PRCLD -- Price - Low - Daily (PRCLD),prcld
FALSE,double,PRCOD -- Price - Open - Daily (PRCOD),prcod
FALSE,double,PRCSTD -- Price Status Code - Daily (PRCSTD),prcstd
FALSE,date,RECORDDATE -- Dividend Record Date (RECORDDATE),recorddate
FALSE,double,TRFD -- Daily Total Return Factor (TRFD),trfd
