cluster,celltype,0
1,EX,1440
2,EX,1187
3,EX,1164
4,EX,1146
5,EX,890
6,EX,872
7,OG,739
8,IN,697
9,IN,526
10,IN,512
11,IN,487
12,EX,480
13,EX,414
14,IN,405
15,IN,392
16,MG,369
17,EX,341
18,OG,339
19,IN,283
20,AC,256
21,EX,241
22,IN,191
23,EX,132
24,EX,119
25,OG,77
26,AC,67
