Playlist,Playlist Chartmetric ID,Playlist URL,Spotify Playlist ID,Spotify User ID,Spotify Playlist URL,Curator,Curator Chartmetric ID,Curator URL,Track Name,Track URL,Date Added,Days in List,Date Removed,Position,Total Tracks,Followers,28-day Change,28-day Change Percent
Roots Rising,1647096,https://app.chartmetric.com/playlist/spotify?id=1647096,37i9dQZF1DWYV7OOaGhoH0,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWYV7OOaGhoH0,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Faustina,https://app.chartmetric.com/track?id=34670076,"Apr 26, 2021",10 Days in List,"May 7, 2021",15,105,1821299,311,0%
Chill Folk,1634717,https://app.chartmetric.com/playlist/spotify?id=1634717,37i9dQZF1DWVl5gPCRkquk,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWVl5gPCRkquk,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Faustina,https://app.chartmetric.com/track?id=34670076,"Apr 26, 2021",10 Days in List,"May 7, 2021",33,132,807743,9962,1%
Fresh Folk,1647146,https://app.chartmetric.com/playlist/spotify?id=1647146,37i9dQZF1DXaUDcU6KDCj4,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DXaUDcU6KDCj4,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Faustina,https://app.chartmetric.com/track?id=34670076,"Apr 26, 2021",10 Days in List,"May 7, 2021",31,152,648562,6639,1%
The Pulse of Americana,977242,https://app.chartmetric.com/playlist/spotify?id=977242,37i9dQZF1DX3Fzl4v4w9Zp,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX3Fzl4v4w9Zp,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Faustina,https://app.chartmetric.com/track?id=34670076,"Apr 26, 2021",10 Days in List,"May 7, 2021",16,121,553561,2512,0%
Indigo,1699953,https://app.chartmetric.com/playlist/spotify?id=1699953,37i9dQZF1DWUgBy0IJPlHq,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWUgBy0IJPlHq,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Faustina,https://app.chartmetric.com/track?id=34670076,"Apr 26, 2021",10 Days in List,"May 7, 2021",38,100,325648,2639,1%
"Old Western, Gothic Country, Indie Bluegrass, Appalachian/ Mountain Country",2401174,https://app.chartmetric.com/playlist/spotify?id=2401174,5f0P7THpJU3TJR5RfxwOnL,gabbybrownn,https://open.spotify.com/user/gabbybrownn/playlist/5f0P7THpJU3TJR5RfxwOnL,gabbybrown_grb,14454795,https://app.chartmetric.com/curator/spotify?id=14454795,Lights of the City,https://app.chartmetric.com/track?id=22979975,"Jan 29, 2021",97 Days in List,"May 7, 2021",210,255,15908,-38,-0%
The Sound of Everything,1850201,https://app.chartmetric.com/playlist/spotify?id=1850201,69fEt9DN5r4JQATi52sRtq,thesoundsofspotify,https://open.spotify.com/user/thesoundsofspotify/playlist/69fEt9DN5r4JQATi52sRtq,The Sounds of Spotify,137219,https://app.chartmetric.com/curator/spotify?id=137219,Faustina,https://app.chartmetric.com/track?id=34670076,"May 2, 2021",4 Days in List,"May 7, 2021",5348,5424,13181,338,3%
Cocaine and Whiskey,2416593,https://app.chartmetric.com/playlist/spotify?id=2416593,76b5Vdw5ZW94eLFvLRKTf4,tm4lyymkotchn3kp0qq1j4v4z,https://open.spotify.com/user/tm4lyymkotchn3kp0qq1j4v4z/playlist/76b5Vdw5ZW94eLFvLRKTf4,Alex Baikov,14485888,https://app.chartmetric.com/curator/spotify?id=14485888,Red Eyes,https://app.chartmetric.com/track?id=20513570,"Apr 23, 2021",13 Days in List,"May 7, 2021",139,160,4735,null,
The Edge of Indie Folk,1870122,https://app.chartmetric.com/playlist/spotify?id=1870122,404dsqt4eESdva3GqGeScD,particledetector,https://open.spotify.com/user/particledetector/playlist/404dsqt4eESdva3GqGeScD,Particle Detector,267603,https://app.chartmetric.com/curator/spotify?id=267603,Faustina,https://app.chartmetric.com/track?id=34670076,"Apr 29, 2021",7 Days in List,"May 7, 2021",6,140,1936,-3,-0%
Indie Country,2401172,https://app.chartmetric.com/playlist/spotify?id=2401172,2Qwp5ku0DbycZKepGrwU3m,jslip1,https://open.spotify.com/user/jslip1/playlist/2Qwp5ku0DbycZKepGrwU3m,jslip1,14454794,https://app.chartmetric.com/curator/spotify?id=14454794,Faded Loves & Memories,https://app.chartmetric.com/track?id=31120308,"Mar 9, 2021",58 Days in List,"May 7, 2021",246,253,1173,47,4%
