Playlist,Playlist Chartmetric ID,Playlist URL,Spotify Playlist ID,Spotify User ID,Spotify Playlist URL,Curator,Curator Chartmetric ID,Curator URL,Track Name,Track URL,Date Added,Days in List,Date Removed,Position,Total Tracks,Followers,28-day Change,28-day Change Percent
Workout,983121,https://app.chartmetric.com/playlist/spotify?id=983121,37i9dQZF1DX70RN3TfWWJh,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX70RN3TfWWJh,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Hate U,https://app.chartmetric.com/track?id=30782180,"Apr 29, 2021",7 Days in List,"May 7, 2021",36,100,4336933,67929,2%
The New Alt,1634803,https://app.chartmetric.com/playlist/spotify?id=1634803,37i9dQZF1DX82GYcclJ3Ug,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX82GYcclJ3Ug,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,death wish,https://app.chartmetric.com/track?id=34059640,"Apr 8, 2021",28 Days in List,"May 7, 2021",42,100,996160,7639,1%
Lorem,988426,https://app.chartmetric.com/playlist/spotify?id=988426,37i9dQZF1DXdwmD5Q7Gxah,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DXdwmD5Q7Gxah,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,death wish,https://app.chartmetric.com/track?id=34059640,"Apr 8, 2021",28 Days in List,"May 7, 2021",57,174,840965,7618,1%
Pop Sauce,1673980,https://app.chartmetric.com/playlist/spotify?id=1673980,37i9dQZF1DXaPCIWxzZwR1,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DXaPCIWxzZwR1,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,lonely & pathetic,https://app.chartmetric.com/track?id=32683122,"Jan 28, 2021",98 Days in List,"May 7, 2021",104,110,783680,40284,5%
Pop Sauce,1673980,https://app.chartmetric.com/playlist/spotify?id=1673980,37i9dQZF1DXaPCIWxzZwR1,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DXaPCIWxzZwR1,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,death wish,https://app.chartmetric.com/track?id=34059640,"Apr 9, 2021",27 Days in List,"May 7, 2021",72,110,783680,40284,5%
"Sad Songs 😢 ",8806,https://app.chartmetric.com/playlist/spotify?id=8806,7ABD15iASBIpPP5uJ5awvq,sanik007,https://open.spotify.com/user/sanik007/playlist/7ABD15iASBIpPP5uJ5awvq,Indiemono,128433,https://app.chartmetric.com/curator/spotify?id=128433,"Dear First Love,",https://app.chartmetric.com/track?id=31454675,"Oct 5, 2020",213 Days in List,"May 7, 2021",115,207,635203,-5558,-1%
sad hour,988427,https://app.chartmetric.com/playlist/spotify?id=988427,37i9dQZF1DWSqBruwoIXkA,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWSqBruwoIXkA,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,"Dear First Love,",https://app.chartmetric.com/track?id=31454675,"Nov 13, 2020",174 Days in List,"May 7, 2021",88,141,580818,11602,2%
Euphoria Soundtrack 2020,1804298,https://app.chartmetric.com/playlist/spotify?id=1804298,48sHE0nZIXRuvre0zhypbD,9rs04h6sxei1gcnruejz7zjg4,https://open.spotify.com/user/9rs04h6sxei1gcnruejz7zjg4/playlist/48sHE0nZIXRuvre0zhypbD,JudasVargas,233916,https://app.chartmetric.com/curator/spotify?id=233916,death wish,https://app.chartmetric.com/track?id=34059640,"Apr 19, 2021",17 Days in List,"May 7, 2021",24,210,464286,-1915,-0%
Pop Punk's Not Dead,983315,https://app.chartmetric.com/playlist/spotify?id=983315,37i9dQZF1DX1ewVhAJ17m4,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX1ewVhAJ17m4,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,death wish,https://app.chartmetric.com/track?id=34059640,"Apr 8, 2021",28 Days in List,"May 7, 2021",12,100,442114,4619,1%
New Noise,995266,https://app.chartmetric.com/playlist/spotify?id=995266,37i9dQZF1DWT2jS7NwYPVI,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWT2jS7NwYPVI,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,death wish,https://app.chartmetric.com/track?id=34059640,"Apr 8, 2021",28 Days in List,"May 7, 2021",81,100,361098,2409,1%
