Playlist,Playlist Chartmetric ID,Playlist URL,Spotify Playlist ID,Spotify User ID,Spotify Playlist URL,Curator,Curator Chartmetric ID,Curator URL,Track Name,Track URL,Date Added,Days in List,Date Removed,Position,Total Tracks,Followers,28-day Change,28-day Change Percent
Acoustic Room,7638,https://app.chartmetric.com/playlist/spotify?id=7638,2JtkUgJumiz7K4AblbFlgK,digster.co.uk,https://open.spotify.com/user/digster.co.uk/playlist/2JtkUgJumiz7K4AblbFlgK,HITS,74387,https://app.chartmetric.com/curator/spotify?id=74387,Boys Make Promises - Acoustic,https://app.chartmetric.com/track?id=33882760,"Apr 15, 2021",21 Days in List,"May 7, 2021",19,84,388835,-1186,-0%
SALT,2248124,https://app.chartmetric.com/playlist/spotify?id=2248124,37i9dQZF1DX6tPTxr8qwRe,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX6tPTxr8qwRe,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Boys Make Promises,https://app.chartmetric.com/track?id=32937274,"Apr 8, 2021",28 Days in List,"May 7, 2021",51,132,131948,24016,18%
Fresh Finds: The Wave,1724947,https://app.chartmetric.com/playlist/spotify?id=1724947,37i9dQZF1DWUFAJPVM3HTX,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWUFAJPVM3HTX,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Funfair,https://app.chartmetric.com/track?id=33741942,"Apr 6, 2021",30 Days in List,"May 7, 2021",75,98,107402,1592,1%
Itunes US Top 100 Charts (Updated Continuously),580414,https://app.chartmetric.com/playlist/spotify?id=580414,5vwXTsQ4qh7BwX9F8cRCPU,1225102279,https://open.spotify.com/user/1225102279/playlist/5vwXTsQ4qh7BwX9F8cRCPU,Onur Baykal,146175,https://app.chartmetric.com/curator/spotify?id=146175,Boys Make Promises,https://app.chartmetric.com/track?id=32937274,"Feb 25, 2021",70 Days in List,"May 7, 2021",886,1140,59744,259,0%
New Pop UK,1972845,https://app.chartmetric.com/playlist/spotify?id=1972845,37i9dQZF1DWXWBMhgr0bkX,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWXWBMhgr0bkX,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Boys Make Promises,https://app.chartmetric.com/track?id=32937274,"Feb 25, 2021",70 Days in List,"May 7, 2021",15,70,13773,728,5%
Summer Feels,1800635,https://app.chartmetric.com/playlist/spotify?id=1800635,5mlwAkIsUkvZ6KUGy5GMO8,bangeroftheday,https://open.spotify.com/user/bangeroftheday/playlist/5mlwAkIsUkvZ6KUGy5GMO8,bangeroftheday,231988,https://app.chartmetric.com/curator/spotify?id=231988,Boys Make Promises,https://app.chartmetric.com/track?id=32937274,"Mar 27, 2021",40 Days in List,"May 7, 2021",66,112,11756,-155,-1%
break up ✨empowerment✨,2426245,https://app.chartmetric.com/playlist/spotify?id=2426245,7vrlm4z1JgbLyGLCRFUUA3,1151782464,https://open.spotify.com/user/1151782464/playlist/7vrlm4z1JgbLyGLCRFUUA3,ALICE MAY STENSON,14493780,https://app.chartmetric.com/curator/spotify?id=14493780,Who,https://app.chartmetric.com/track?id=32557677,"Feb 5, 2021",90 Days in List,"May 7, 2021",418,446,10018,null,
New Artists Only,1707486,https://app.chartmetric.com/playlist/spotify?id=1707486,4AB1J5VRo8y3oc5QACLzRg,allthingsgomusic,https://open.spotify.com/user/allthingsgomusic/playlist/4AB1J5VRo8y3oc5QACLzRg,All Things Go,56170,https://app.chartmetric.com/curator/spotify?id=56170,Who,https://app.chartmetric.com/track?id=32557677,"Jan 14, 2021",112 Days in List,"May 7, 2021",107,130,8703,487,6%
#NowWatching,1729787,https://app.chartmetric.com/playlist/spotify?id=1729787,0EVzFau2kULH9e5dwK2OSI,onestowatchmedia,https://open.spotify.com/user/onestowatchmedia/playlist/0EVzFau2kULH9e5dwK2OSI,Ones To Watch,230104,https://app.chartmetric.com/curator/spotify?id=230104,Jaded,https://app.chartmetric.com/track?id=33750930,"Mar 25, 2021",42 Days in List,"May 7, 2021",73,86,6162,-6060,-98%
🌹Hot Pop 2021🌹,1844803,https://app.chartmetric.com/playlist/spotify?id=1844803,6PnkSl6vY5h7wp93Ic7qmc,22xuw1062c5zuy53qm51uhf55,https://open.spotify.com/user/22xuw1062c5zuy53qm51uhf55/playlist/6PnkSl6vY5h7wp93Ic7qmc,Oryza Records,268038,https://app.chartmetric.com/curator/spotify?id=268038,Boys Make Promises,https://app.chartmetric.com/track?id=32937274,"Mar 29, 2021",38 Days in List,"May 7, 2021",17,626,5743,85,1%
The Edge of Indie Poptimism,1962609,https://app.chartmetric.com/playlist/spotify?id=1962609,5vIdb67lQcdFwoVkE4UMep,particledetector,https://open.spotify.com/user/particledetector/playlist/5vIdb67lQcdFwoVkE4UMep,Particle Detector,267603,https://app.chartmetric.com/curator/spotify?id=267603,Boys Make Promises,https://app.chartmetric.com/track?id=32937274,"Apr 15, 2021",21 Days in List,"May 7, 2021",46,154,2585,-16,-1%
