Playlist,Playlist Chartmetric ID,Playlist URL,Spotify Playlist ID,Spotify User ID,Spotify Playlist URL,Curator,Curator Chartmetric ID,Curator URL,Track Name,Track URL,Date Added,Days in List,Date Removed,Position,Total Tracks,Followers,28-day Change,28-day Change Percent
The Pulse of Americana,977242,https://app.chartmetric.com/playlist/spotify?id=977242,37i9dQZF1DX3Fzl4v4w9Zp,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX3Fzl4v4w9Zp,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Faustina,https://app.chartmetric.com/track?id=34670076,"Apr 21, 2021",1 Days in List,"Apr 22, 2021",7,121,553561,2512,0%
The Sound of Everything,1850201,https://app.chartmetric.com/playlist/spotify?id=1850201,69fEt9DN5r4JQATi52sRtq,thesoundsofspotify,https://open.spotify.com/user/thesoundsofspotify/playlist/69fEt9DN5r4JQATi52sRtq,The Sounds of Spotify,137219,https://app.chartmetric.com/curator/spotify?id=137219,Red Eyes,https://app.chartmetric.com/track?id=20513570,"Apr 23, 2021",2 Days in List,"Apr 25, 2021",5306,5424,13181,338,3%
The Sound of Everything,1850201,https://app.chartmetric.com/playlist/spotify?id=1850201,69fEt9DN5r4JQATi52sRtq,thesoundsofspotify,https://open.spotify.com/user/thesoundsofspotify/playlist/69fEt9DN5r4JQATi52sRtq,The Sounds of Spotify,137219,https://app.chartmetric.com/curator/spotify?id=137219,Red Eyes,https://app.chartmetric.com/track?id=20513570,"Mar 19, 2021",18 Days in List,"Apr 6, 2021",5241,5424,13181,338,3%
The Sound of Everything,1850201,https://app.chartmetric.com/playlist/spotify?id=1850201,69fEt9DN5r4JQATi52sRtq,thesoundsofspotify,https://open.spotify.com/user/thesoundsofspotify/playlist/69fEt9DN5r4JQATi52sRtq,The Sounds of Spotify,137219,https://app.chartmetric.com/curator/spotify?id=137219,Red Eyes,https://app.chartmetric.com/track?id=20513570,"Dec 4, 2020",28 Days in List,"Jan 1, 2021",5041,5424,13181,338,3%
New Music Friday,1669838,https://app.chartmetric.com/playlist/spotify?id=1669838,4vGgUbD6tW2xMTABaVzCXo,whiskeyriff,https://open.spotify.com/user/whiskeyriff/playlist/4vGgUbD6tW2xMTABaVzCXo,Whiskey Riff,187236,https://app.chartmetric.com/curator/spotify?id=187236,Lookin' Over My Shoulder,https://app.chartmetric.com/track?id=33649221,"Mar 18, 2021",8 Days in List,"Mar 26, 2021",17,30,8374,124,1%
New Music Friday,1669838,https://app.chartmetric.com/playlist/spotify?id=1669838,4vGgUbD6tW2xMTABaVzCXo,whiskeyriff,https://open.spotify.com/user/whiskeyriff/playlist/4vGgUbD6tW2xMTABaVzCXo,Whiskey Riff,187236,https://app.chartmetric.com/curator/spotify?id=187236,Faustina,https://app.chartmetric.com/track?id=34670076,"Apr 23, 2021",7 Days in List,"Apr 30, 2021",19,30,8374,124,1%
The Ditty Dozen - 12 Artists You Need to Know,1771228,https://app.chartmetric.com/playlist/spotify?id=1771228,7iQ1adypnnRyfjC2jpH8q9,dittytv,https://open.spotify.com/user/dittytv/playlist/7iQ1adypnnRyfjC2jpH8q9,dittytv,238378,https://app.chartmetric.com/curator/spotify?id=238378,Lookin' Over My Shoulder,https://app.chartmetric.com/track?id=33649221,"Mar 29, 2021",7 Days in List,"Apr 5, 2021",6,12,6566,29,0%
"altcountrynl (updated and made even better: May 1st,   2021)",153449,https://app.chartmetric.com/playlist/spotify?id=153449,3i1g5z53mSwrrkvAwFFaq5,dutchtwang,https://open.spotify.com/user/dutchtwang/playlist/3i1g5z53mSwrrkvAwFFaq5,Hugo Vogel,76274,https://app.chartmetric.com/curator/spotify?id=76274,How It Feels in the Light,https://app.chartmetric.com/track?id=22382801,"Feb 4, 2019",462 Days in List,"May 11, 2020",487,612,2626,18,1%
"altcountrynl (updated and made even better: May 1st,   2021)",153449,https://app.chartmetric.com/playlist/spotify?id=153449,3i1g5z53mSwrrkvAwFFaq5,dutchtwang,https://open.spotify.com/user/dutchtwang/playlist/3i1g5z53mSwrrkvAwFFaq5,Hugo Vogel,76274,https://app.chartmetric.com/curator/spotify?id=76274,How It Feels in the Light,https://app.chartmetric.com/track?id=22382801,"Jun 18, 2020",155 Days in List,"Nov 20, 2020",656,612,2626,18,1%
"altcountrynl (updated and made even better: May 1st,   2021)",153449,https://app.chartmetric.com/playlist/spotify?id=153449,3i1g5z53mSwrrkvAwFFaq5,dutchtwang,https://open.spotify.com/user/dutchtwang/playlist/3i1g5z53mSwrrkvAwFFaq5,Hugo Vogel,76274,https://app.chartmetric.com/curator/spotify?id=76274,How It Feels in the Light,https://app.chartmetric.com/track?id=22382801,"May 12, 2020",36 Days in List,"Jun 17, 2020",518,612,2626,18,1%
Swing Dance/Country 🔥,1889562,https://app.chartmetric.com/playlist/spotify?id=1889562,41wRxzUQNg3lYMMBbQTbJk,1270729800,https://open.spotify.com/user/1270729800/playlist/41wRxzUQNg3lYMMBbQTbJk,Justyn Davy,278953,https://app.chartmetric.com/curator/spotify?id=278953,Red Eyes,https://app.chartmetric.com/track?id=20513570,"Apr 13, 2020",57 Days in List,"Jun 9, 2020",674,990,2117,48,2%
