Playlist,Playlist Chartmetric ID,Playlist URL,Spotify Playlist ID,Spotify User ID,Spotify Playlist URL,Curator,Curator Chartmetric ID,Curator URL,Track Name,Track URL,Date Added,Days in List,Date Removed,Position,Total Tracks,Followers,28-day Change,28-day Change Percent
Friday Cratediggers,988646,https://app.chartmetric.com/playlist/spotify?id=988646,37i9dQZF1DXa41CMuUARjl,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DXa41CMuUARjl,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,By Heart (with Londin Thompson),https://app.chartmetric.com/track?id=32153912,"Dec 3, 2020",7 Days in List,"Dec 10, 2020",14,129,333973,4334,1%
New Music Friday,1708937,https://app.chartmetric.com/playlist/spotify?id=1708937,37i9dQZF1DWXJfnUiYjUKT,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWXJfnUiYjUKT,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Wish It Would Rain,https://app.chartmetric.com/track?id=31076673,"Aug 20, 2020",7 Days in List,"Aug 27, 2020",76,98,264964,4323,2%
Music You Should Know,5960,https://app.chartmetric.com/playlist/spotify?id=5960,4V2r7rQqLcuPNTaF1yWBcr,digster.fm,https://open.spotify.com/user/digster.fm/playlist/4V2r7rQqLcuPNTaF1yWBcr,digster.fm,74391,https://app.chartmetric.com/curator/spotify?id=74391,Wish It Would Rain,https://app.chartmetric.com/track?id=31076673,"Aug 21, 2020",7 Days in List,"Aug 28, 2020",62,41,174539,-374,-0%
Dance Room,1776038,https://app.chartmetric.com/playlist/spotify?id=1776038,37i9dQZF1DX2ENAPP1Tyed,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX2ENAPP1Tyed,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,By Heart (with Londin Thompson),https://app.chartmetric.com/track?id=32153912,"Dec 3, 2020",56 Days in List,"Jan 28, 2021",65,60,140602,2864,2%
Steve Aoki's Neon Future Playlist,19963,https://app.chartmetric.com/playlist/spotify?id=19963,739NZ2VamBznlYHqRN0r03,djsteveaoki,https://open.spotify.com/user/djsteveaoki/playlist/739NZ2VamBznlYHqRN0r03,Steve Aoki,74946,https://app.chartmetric.com/curator/spotify?id=74946,By Heart (with Londin Thompson),https://app.chartmetric.com/track?id=32153912,"Dec 11, 2020",24 Days in List,"Jan 4, 2021",41,165,137582,20,0%
Indie Chill,5961,https://app.chartmetric.com/playlist/spotify?id=5961,1jelEUwXFe9YeEjdAR3aC8,digster.fm,https://open.spotify.com/user/digster.fm/playlist/1jelEUwXFe9YeEjdAR3aC8,digster.fm,74391,https://app.chartmetric.com/curator/spotify?id=74391,Wish It Would Rain - Piano Version,https://app.chartmetric.com/track?id=31530169,"Oct 3, 2020",28 Days in List,"Oct 31, 2020",47,50,117075,-200,-0%
元気Booster,851124,https://app.chartmetric.com/playlist/spotify?id=851124,37i9dQZF1DX6UkADhBpEnE,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX6UkADhBpEnE,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Don't Prove Me Wrong,https://app.chartmetric.com/track?id=32825172,"Mar 21, 2021",1 Days in List,"Mar 22, 2021",8,80,106284,1548,1%
元気Booster,851124,https://app.chartmetric.com/playlist/spotify?id=851124,37i9dQZF1DX6UkADhBpEnE,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX6UkADhBpEnE,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Don't Prove Me Wrong,https://app.chartmetric.com/track?id=32825172,"Mar 2, 2021",1 Days in List,"Mar 3, 2021",62,80,106284,1548,1%
元気Booster,851124,https://app.chartmetric.com/playlist/spotify?id=851124,37i9dQZF1DX6UkADhBpEnE,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX6UkADhBpEnE,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Don't Prove Me Wrong,https://app.chartmetric.com/track?id=32825172,"Apr 24, 2021",1 Days in List,"Apr 25, 2021",28,80,106284,1548,1%
Brand New Chill,1776073,https://app.chartmetric.com/playlist/spotify?id=1776073,37i9dQZF1DX6uQnoHESB3u,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX6uQnoHESB3u,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Wish It Would Rain,https://app.chartmetric.com/track?id=31076673,"Mar 14, 2021",1 Days in List,"Mar 15, 2021",36,130,94122,5304,6%
Brand New Chill,1776073,https://app.chartmetric.com/playlist/spotify?id=1776073,37i9dQZF1DX6uQnoHESB3u,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX6uQnoHESB3u,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Wish It Would Rain,https://app.chartmetric.com/track?id=31076673,"Apr 26, 2021",2 Days in List,"Apr 28, 2021",129,130,94122,5304,6%
