Playlist,Playlist Chartmetric ID,Playlist URL,Spotify Playlist ID,Spotify User ID,Spotify Playlist URL,Curator,Curator Chartmetric ID,Curator URL,Track Name,Track URL,Date Added,Days in List,Date Removed,Position,Total Tracks,Followers,28-day Change,28-day Change Percent
Fresh Finds: Pop,1646160,https://app.chartmetric.com/playlist/spotify?id=1646160,37i9dQZF1DX3u9TSHqpdJC,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX3u9TSHqpdJC,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Magnolia,https://app.chartmetric.com/track?id=34065244,"Apr 13, 2021",23 Days in List,"May 7, 2021",191,200,124489,2204,2%
Vocal Jazz,1672767,https://app.chartmetric.com/playlist/spotify?id=1672767,37i9dQZF1DX2kt7dB63bU1,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX2kt7dB63bU1,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,James,https://app.chartmetric.com/track?id=36158219,"Apr 29, 2021",7 Days in List,"May 7, 2021",99,116,59510,1340,2%
All New Jazz,2277421,https://app.chartmetric.com/playlist/spotify?id=2277421,37i9dQZF1DWW2c0C8Vb2IR,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWW2c0C8Vb2IR,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,James,https://app.chartmetric.com/track?id=36158219,"Apr 29, 2021",7 Days in List,"May 7, 2021",22,75,26792,2744,10%
"Indie Pop & Alternative (Fresh Finds, Chill Vibes, Anti Pop) ♫",2277113,https://app.chartmetric.com/playlist/spotify?id=2277113,6akGYVdXsO84bsM1IeF3lN,4s54g08fygusw5gx503bzbznd,https://open.spotify.com/user/4s54g08fygusw5gx503bzbznd/playlist/6akGYVdXsO84bsM1IeF3lN,Sonder House,232391,https://app.chartmetric.com/curator/spotify?id=232391,Best Friend,https://app.chartmetric.com/track?id=33192213,"Mar 5, 2021",62 Days in List,"May 7, 2021",340,436,25957,-822,-3%
In my own world,2288921,https://app.chartmetric.com/playlist/spotify?id=2288921,14pkouJyRc3lymv9Xk61zd,22flc4lvn6m3sflok6g7dauna,https://open.spotify.com/user/22flc4lvn6m3sflok6g7dauna/playlist/14pkouJyRc3lymv9Xk61zd,Matthew Meyer,5921222,https://app.chartmetric.com/curator/spotify?id=5921222,Best Friend,https://app.chartmetric.com/track?id=33192213,"Mar 6, 2021",61 Days in List,"May 7, 2021",331,354,25947,-318,-1%
Icelandic Indie Music,363710,https://app.chartmetric.com/playlist/spotify?id=363710,6d9YhmLBHznFKWpFDEKiad,icelandmusicexport,https://open.spotify.com/user/icelandmusicexport/playlist/6d9YhmLBHznFKWpFDEKiad,Iceland Music,88756,https://app.chartmetric.com/curator/spotify?id=88756,Magnolia,https://app.chartmetric.com/track?id=34065244,"Apr 7, 2021",29 Days in List,"May 7, 2021",38,144,18871,55,0%
Icelandic Indie Music,363710,https://app.chartmetric.com/playlist/spotify?id=363710,6d9YhmLBHznFKWpFDEKiad,icelandmusicexport,https://open.spotify.com/user/icelandmusicexport/playlist/6d9YhmLBHznFKWpFDEKiad,Iceland Music,88756,https://app.chartmetric.com/curator/spotify?id=88756,Someone New,https://app.chartmetric.com/track?id=29570682,"Nov 2, 2020",185 Days in List,"May 7, 2021",104,144,18871,55,0%
Honey [morning coffee vibes],1769912,https://app.chartmetric.com/playlist/spotify?id=1769912,74yXeQARdWYvO64RL5cSFQ,j6kg7whj3jjo1nt5xd9gapirk,https://open.spotify.com/user/j6kg7whj3jjo1nt5xd9gapirk/playlist/74yXeQARdWYvO64RL5cSFQ,Sundae Sauuce,238122,https://app.chartmetric.com/curator/spotify?id=238122,Best Friend,https://app.chartmetric.com/track?id=33192213,"Apr 6, 2021",30 Days in List,"May 7, 2021",56,98,17800,2174,12%
Most Beautiful Indie Folk & Acoustic ♫,1762531,https://app.chartmetric.com/playlist/spotify?id=1762531,16ZPzqw1yPoTh21cxw5wac,4s54g08fygusw5gx503bzbznd,https://open.spotify.com/user/4s54g08fygusw5gx503bzbznd/playlist/16ZPzqw1yPoTh21cxw5wac,Sonder House,232391,https://app.chartmetric.com/curator/spotify?id=232391,Best Friend,https://app.chartmetric.com/track?id=33192213,"Mar 4, 2021",63 Days in List,"May 7, 2021",283,331,14540,-389,-3%
an afternoon at the met,2458966,https://app.chartmetric.com/playlist/spotify?id=2458966,5IqBIrnzwwaT5WrbruTIx1,kngelsomino,https://open.spotify.com/user/kngelsomino/playlist/5IqBIrnzwwaT5WrbruTIx1,kasey gelsomino,10944486,https://app.chartmetric.com/curator/spotify?id=10944486,Best Friend,https://app.chartmetric.com/track?id=33192213,"Mar 4, 2021",63 Days in List,"May 7, 2021",56,59,11697,null,
chillin',1860731,https://app.chartmetric.com/playlist/spotify?id=1860731,30Krn8yRg8aVEBToGGBzX1,117926942,https://open.spotify.com/user/117926942/playlist/30Krn8yRg8aVEBToGGBzX1,dodie,249589,https://app.chartmetric.com/curator/spotify?id=249589,Street by Street,https://app.chartmetric.com/track?id=28950552,"Apr 4, 2021",32 Days in List,"May 7, 2021",134,136,9871,82,1%
Lotus,986310,https://app.chartmetric.com/playlist/spotify?id=986310,37i9dQZF1DX83FrVXEJAiq,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX83FrVXEJAiq,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Best Friend,https://app.chartmetric.com/track?id=33192213,"May 5, 2021",1 Days in List,"May 7, 2021",41,73,8947,483,5%
eargasm,1894030,https://app.chartmetric.com/playlist/spotify?id=1894030,0mOamavXLLiecALfFvMeeV,v815hzna1ldsz9wllbhpp8whm,https://open.spotify.com/user/v815hzna1ldsz9wllbhpp8whm/playlist/0mOamavXLLiecALfFvMeeV,Hank,282039,https://app.chartmetric.com/curator/spotify?id=282039,Like the Movies,https://app.chartmetric.com/track?id=36528765,"Apr 30, 2021",6 Days in List,"May 7, 2021",651,655,7647,-49,-1%
eargasm,1894030,https://app.chartmetric.com/playlist/spotify?id=1894030,0mOamavXLLiecALfFvMeeV,v815hzna1ldsz9wllbhpp8whm,https://open.spotify.com/user/v815hzna1ldsz9wllbhpp8whm/playlist/0mOamavXLLiecALfFvMeeV,Hank,282039,https://app.chartmetric.com/curator/spotify?id=282039,Someone New,https://app.chartmetric.com/track?id=29570682,"Apr 30, 2021",6 Days in List,"May 7, 2021",652,655,7647,-49,-1%
Iceland Airwaves 2021,857732,https://app.chartmetric.com/playlist/spotify?id=857732,3dNCFy3Q9d6LtGZLWT0c2O,icelandairwaves,https://open.spotify.com/user/icelandairwaves/playlist/3dNCFy3Q9d6LtGZLWT0c2O,Iceland Airwaves,88754,https://app.chartmetric.com/curator/spotify?id=88754,Street by Street,https://app.chartmetric.com/track?id=28950552,"Apr 28, 2021",8 Days in List,"May 7, 2021",145,170,6979,93,1%
Iceland Airwaves 2021,857732,https://app.chartmetric.com/playlist/spotify?id=857732,3dNCFy3Q9d6LtGZLWT0c2O,icelandairwaves,https://open.spotify.com/user/icelandairwaves/playlist/3dNCFy3Q9d6LtGZLWT0c2O,Iceland Airwaves,88754,https://app.chartmetric.com/curator/spotify?id=88754,Best Friend,https://app.chartmetric.com/track?id=33192213,"Apr 28, 2021",8 Days in List,"May 7, 2021",146,170,6979,93,1%
Soft Girl Vibes 🌸✨🌊,2003836,https://app.chartmetric.com/playlist/spotify?id=2003836,0FIrCstt76UFLOU5srwNIO,toriatersilla924,https://open.spotify.com/user/toriatersilla924/playlist/0FIrCstt76UFLOU5srwNIO,TinyTunes,320852,https://app.chartmetric.com/curator/spotify?id=320852,Someone New,https://app.chartmetric.com/track?id=29570682,"Apr 14, 2021",22 Days in List,"May 7, 2021",1834,1860,6935,-150,-2%
our bangers,2583955,https://app.chartmetric.com/playlist/spotify?id=2583955,1s3rFeFNaxtiJvBQc2mwlK,luizacordery,https://open.spotify.com/user/luizacordery/playlist/1s3rFeFNaxtiJvBQc2mwlK,luizacordery,14517057,https://app.chartmetric.com/curator/spotify?id=14517057,Someone New,https://app.chartmetric.com/track?id=29570682,"Mar 6, 2021",61 Days in List,"May 7, 2021",8283,9688,4925,null,
our bangers,2583955,https://app.chartmetric.com/playlist/spotify?id=2583955,1s3rFeFNaxtiJvBQc2mwlK,luizacordery,https://open.spotify.com/user/luizacordery/playlist/1s3rFeFNaxtiJvBQc2mwlK,luizacordery,14517057,https://app.chartmetric.com/curator/spotify?id=14517057,Street by Street,https://app.chartmetric.com/track?id=28950552,"Mar 6, 2021",61 Days in List,"May 7, 2021",8290,9688,4925,null,
Viral 50 - Iceland,1667158,https://app.chartmetric.com/playlist/spotify?id=1667158,37i9dQZEVXbMHnoaLVkVuk,spotifycharts,https://open.spotify.com/user/spotifycharts/playlist/37i9dQZEVXbMHnoaLVkVuk,spotifycharts,133000,https://app.chartmetric.com/curator/spotify?id=133000,Best Friend,https://app.chartmetric.com/track?id=33192213,"May 2, 2021",4 Days in List,"May 7, 2021",17,50,4280,15,0%
Viral 50 - Iceland,1667158,https://app.chartmetric.com/playlist/spotify?id=1667158,37i9dQZEVXbMHnoaLVkVuk,spotifycharts,https://open.spotify.com/user/spotifycharts/playlist/37i9dQZEVXbMHnoaLVkVuk,spotifycharts,133000,https://app.chartmetric.com/curator/spotify?id=133000,Magnolia,https://app.chartmetric.com/track?id=34065244,"May 5, 2021",1 Days in List,"May 7, 2021",47,50,4280,15,0%
Viral 50 - Iceland,1667158,https://app.chartmetric.com/playlist/spotify?id=1667158,37i9dQZEVXbMHnoaLVkVuk,spotifycharts,https://open.spotify.com/user/spotifycharts/playlist/37i9dQZEVXbMHnoaLVkVuk,spotifycharts,133000,https://app.chartmetric.com/curator/spotify?id=133000,Street by Street,https://app.chartmetric.com/track?id=28950552,"May 3, 2021",3 Days in List,"May 7, 2021",18,50,4280,15,0%
"soul searching ",2444228,https://app.chartmetric.com/playlist/spotify?id=2444228,2NqphkO6QTWvVDnKNww0NF,scottrothmann972,https://open.spotify.com/user/scottrothmann972/playlist/2NqphkO6QTWvVDnKNww0NF,scottrothmann972,14508354,https://app.chartmetric.com/curator/spotify?id=14508354,Someone New,https://app.chartmetric.com/track?id=29570682,"Apr 25, 2021",11 Days in List,"May 7, 2021",538,2379,2177,null,
TuneCore:  New Music Friday,1656925,https://app.chartmetric.com/playlist/spotify?id=1656925,4s1uQE07BpKmy74bDlarM7,tunecore,https://open.spotify.com/user/tunecore/playlist/4s1uQE07BpKmy74bDlarM7,TuneCore,223733,https://app.chartmetric.com/curator/spotify?id=223733,Street by Street,https://app.chartmetric.com/track?id=28950552,"Apr 29, 2021",7 Days in List,"May 7, 2021",1,25,2016,393,19%
You...You is the Main Character,2570404,https://app.chartmetric.com/playlist/spotify?id=2570404,7g899Ci1KZM579xQ1Wci9W,22flc4lvn6m3sflok6g7dauna,https://open.spotify.com/user/22flc4lvn6m3sflok6g7dauna/playlist/7g899Ci1KZM579xQ1Wci9W,Matthew Meyer,5921222,https://app.chartmetric.com/curator/spotify?id=5921222,Best Friend,https://app.chartmetric.com/track?id=33192213,"Mar 6, 2021",61 Days in List,"May 7, 2021",110,116,1943,null,
Icelandic Roadtrip,2362545,https://app.chartmetric.com/playlist/spotify?id=2362545,36i8EXQUZumw69999qgzhj,icelandmusicexport,https://open.spotify.com/user/icelandmusicexport/playlist/36i8EXQUZumw69999qgzhj,Iceland Music,88756,https://app.chartmetric.com/curator/spotify?id=88756,Someone New,https://app.chartmetric.com/track?id=29570682,"Nov 1, 2020",186 Days in List,"May 7, 2021",150,285,1914,11,1%
Buzzing Daily,1723570,https://app.chartmetric.com/playlist/spotify?id=1723570,76wMgWv0DcEm1F7pNXAzDl,thewildhoneypie,https://open.spotify.com/user/thewildhoneypie/playlist/76wMgWv0DcEm1F7pNXAzDl,The Wild Honey Pie,137296,https://app.chartmetric.com/curator/spotify?id=137296,James,https://app.chartmetric.com/track?id=36158219,"Apr 29, 2021",7 Days in List,"May 7, 2021",5,100,1769,34,2%
Reetos Sunntigsmusig,2532596,https://app.chartmetric.com/playlist/spotify?id=2532596,3Opv8noglAUr44BWjRRMSq,lowmotiondisco,https://open.spotify.com/user/lowmotiondisco/playlist/3Opv8noglAUr44BWjRRMSq,lowmotiondisco,14583755,https://app.chartmetric.com/curator/spotify?id=14583755,Street by Street,https://app.chartmetric.com/track?id=28950552,"Sep 2, 2020",246 Days in List,"May 7, 2021",2354,2547,1563,null,
Future Soul,1884726,https://app.chartmetric.com/playlist/spotify?id=1884726,5Q3RDgmqchjN1h2vzx8xWw,joshjacobsonmusic,https://open.spotify.com/user/joshjacobsonmusic/playlist/5Q3RDgmqchjN1h2vzx8xWw,Josh Jacobson,276436,https://app.chartmetric.com/curator/spotify?id=276436,Magnolia,https://app.chartmetric.com/track?id=34065244,"Apr 7, 2021",29 Days in List,"May 7, 2021",4,172,1513,14,1%
"Ja Ja Ja - New Nordic Sounds! Updated Fridays - KALEO, AURORA, daði freyr, girl in red, 💥",43308,https://app.chartmetric.com/playlist/spotify?id=43308,30psjrSusQDKihm2O2GQYI,jajajanordic,https://open.spotify.com/user/jajajanordic/playlist/30psjrSusQDKihm2O2GQYI,Ja Ja Ja,91049,https://app.chartmetric.com/curator/spotify?id=91049,James,https://app.chartmetric.com/track?id=36158219,"Apr 29, 2021",7 Days in List,"May 7, 2021",5,433,1460,6,0%
"Whatever happens, happens...",1882229,https://app.chartmetric.com/playlist/spotify?id=1882229,51sOVyffKDPPeP4kV0y0on,cloudequinox,https://open.spotify.com/user/cloudequinox/playlist/51sOVyffKDPPeP4kV0y0on,Julien Mendoza Mani,274907,https://app.chartmetric.com/curator/spotify?id=274907,Someone New,https://app.chartmetric.com/track?id=29570682,"Jan 28, 2021",98 Days in List,"May 7, 2021",750,792,1304,5,0%
"Whatever happens, happens...",1882229,https://app.chartmetric.com/playlist/spotify?id=1882229,51sOVyffKDPPeP4kV0y0on,cloudequinox,https://open.spotify.com/user/cloudequinox/playlist/51sOVyffKDPPeP4kV0y0on,Julien Mendoza Mani,274907,https://app.chartmetric.com/curator/spotify?id=274907,Street by Street,https://app.chartmetric.com/track?id=28950552,"Jan 28, 2021",98 Days in List,"May 7, 2021",749,792,1304,5,0%
French Morning,2549376,https://app.chartmetric.com/playlist/spotify?id=2549376,72qbfwmELwQZgmeplzphVd,21qlo5oaipdjqjp62oxbnzfuq,https://open.spotify.com/user/21qlo5oaipdjqjp62oxbnzfuq/playlist/72qbfwmELwQZgmeplzphVd,Karissa Tjet Knapp,14598310,https://app.chartmetric.com/curator/spotify?id=14598310,Someone New,https://app.chartmetric.com/track?id=29570682,"Mar 21, 2021",46 Days in List,"May 7, 2021",43,43,1231,null,
French Morning,2549376,https://app.chartmetric.com/playlist/spotify?id=2549376,72qbfwmELwQZgmeplzphVd,21qlo5oaipdjqjp62oxbnzfuq,https://open.spotify.com/user/21qlo5oaipdjqjp62oxbnzfuq/playlist/72qbfwmELwQZgmeplzphVd,Karissa Tjet Knapp,14598310,https://app.chartmetric.com/curator/spotify?id=14598310,Street by Street,https://app.chartmetric.com/track?id=28950552,"Mar 2, 2021",65 Days in List,"May 7, 2021",42,43,1231,null,
French Morning,2549376,https://app.chartmetric.com/playlist/spotify?id=2549376,72qbfwmELwQZgmeplzphVd,21qlo5oaipdjqjp62oxbnzfuq,https://open.spotify.com/user/21qlo5oaipdjqjp62oxbnzfuq/playlist/72qbfwmELwQZgmeplzphVd,Karissa Tjet Knapp,14598310,https://app.chartmetric.com/curator/spotify?id=14598310,Someone New,https://app.chartmetric.com/track?id=29570682,"Jun 10, 2020",330 Days in List,"May 7, 2021",31,43,1231,null,
"chill mornings ",2526190,https://app.chartmetric.com/playlist/spotify?id=2526190,164CpfStVjO2Fptzi0ql9l,kaylacodilla,https://open.spotify.com/user/kaylacodilla/playlist/164CpfStVjO2Fptzi0ql9l,Kayla Codilla 🦋,14578435,https://app.chartmetric.com/curator/spotify?id=14578435,Street by Street,https://app.chartmetric.com/track?id=28950552,"Jun 6, 2020",334 Days in List,"May 7, 2021",51,82,1181,null,
RADAR // New Independent Music,1967729,https://app.chartmetric.com/playlist/spotify?id=1967729,2AXFlWrPVZVP43ipI5Buur,songularmusic,https://open.spotify.com/user/songularmusic/playlist/2AXFlWrPVZVP43ipI5Buur,Songular,226339,https://app.chartmetric.com/curator/spotify?id=226339,Magnolia,https://app.chartmetric.com/track?id=34065244,"Apr 18, 2021",18 Days in List,"May 7, 2021",24,100,1016,-7,-1%
Apartment: Essentials,2000708,https://app.chartmetric.com/playlist/spotify?id=2000708,5vfUxakByBRCRMcxdFW1Vf,r8dtuo6nwd6x5yvweryxuz011,https://open.spotify.com/user/r8dtuo6nwd6x5yvweryxuz011/playlist/5vfUxakByBRCRMcxdFW1Vf,apartmentcoffee,319863,https://app.chartmetric.com/curator/spotify?id=319863,James,https://app.chartmetric.com/track?id=36158219,"May 4, 2021",2 Days in List,"May 7, 2021",17,200,873,16,2%
"Sweet Songs & Voices ' Beautiful Voices, Sweetest Music'",8891,https://app.chartmetric.com/playlist/spotify?id=8891,2SBVWL1OeIPy4jY5zFuW8X,sanik007,https://open.spotify.com/user/sanik007/playlist/2SBVWL1OeIPy4jY5zFuW8X,Indiemono,128433,https://app.chartmetric.com/curator/spotify?id=128433,Best Friend,https://app.chartmetric.com/track?id=33192213,"Mar 13, 2021",54 Days in List,"May 7, 2021",42,118,871,0,
for yue,2246346,https://app.chartmetric.com/playlist/spotify?id=2246346,7tTkQJjnMOoMwfoAnOJWK0,yazzapoo,https://open.spotify.com/user/yazzapoo/playlist/7tTkQJjnMOoMwfoAnOJWK0,yazzapoo,394951,https://app.chartmetric.com/curator/spotify?id=394951,Magnolia,https://app.chartmetric.com/track?id=34065244,"Apr 6, 2021",30 Days in List,"May 7, 2021",35,35,869,-24,-3%
songs to listen to when your thinking of them,2578107,https://app.chartmetric.com/playlist/spotify?id=2578107,6ZmDVwApbIAmJJNdGEiVmp,vq06gtq6wu0qseqrwt3mz4c5a,https://open.spotify.com/user/vq06gtq6wu0qseqrwt3mz4c5a/playlist/6ZmDVwApbIAmJJNdGEiVmp,jessie,14623004,https://app.chartmetric.com/curator/spotify?id=14623004,Street by Street,https://app.chartmetric.com/track?id=28950552,"Feb 2, 2021",93 Days in List,"May 7, 2021",71,101,748,null,
"han jisung stays awake at 3:25am, writing of a stranger he met once .",2485927,https://app.chartmetric.com/playlist/spotify?id=2485927,0RjoYDgsN968YgAvvm3uKT,jaq4x2gr50rt67n1v3brkiutl,https://open.spotify.com/user/jaq4x2gr50rt67n1v3brkiutl/playlist/0RjoYDgsN968YgAvvm3uKT,victoria,14543664,https://app.chartmetric.com/curator/spotify?id=14543664,Best Friend,https://app.chartmetric.com/track?id=33192213,"Mar 2, 2021",65 Days in List,"May 7, 2021",104,112,742,null,
"han jisung stays awake at 3:25am, writing of a stranger he met once .",2485927,https://app.chartmetric.com/playlist/spotify?id=2485927,0RjoYDgsN968YgAvvm3uKT,jaq4x2gr50rt67n1v3brkiutl,https://open.spotify.com/user/jaq4x2gr50rt67n1v3brkiutl/playlist/0RjoYDgsN968YgAvvm3uKT,victoria,14543664,https://app.chartmetric.com/curator/spotify?id=14543664,Someone New,https://app.chartmetric.com/track?id=29570682,"Mar 2, 2021",65 Days in List,"May 7, 2021",103,112,742,null,
PressPLAY OK: New Music Friday,1711286,https://app.chartmetric.com/playlist/spotify?id=1711286,2QEXsFWUdk2DsJxhThUFwH,pressplay_ok,https://open.spotify.com/user/pressplay_ok/playlist/2QEXsFWUdk2DsJxhThUFwH,PressPLAY OK,227023,https://app.chartmetric.com/curator/spotify?id=227023,Like the Movies,https://app.chartmetric.com/track?id=36528765,"Apr 29, 2021",7 Days in List,"May 7, 2021",105,107,694,7,1%
CRUISE by Clément Leroux | Winter Edition,2279281,https://app.chartmetric.com/playlist/spotify?id=2279281,6yNgtiw1zrJiEfvTyaRBoF,bv5xmqg4b2304828ka228b50t,https://open.spotify.com/user/bv5xmqg4b2304828ka228b50t/playlist/6yNgtiw1zrJiEfvTyaRBoF,Clément Leroux,4344109,https://app.chartmetric.com/curator/spotify?id=4344109,Best Friend,https://app.chartmetric.com/track?id=33192213,"Mar 15, 2021",52 Days in List,"May 7, 2021",7,100,624,5,1%
ASCAP New Music Friday,1982578,https://app.chartmetric.com/playlist/spotify?id=1982578,6lPqHhFnAXJFKBsc0g2vNC,ascap-official,https://open.spotify.com/user/ascap-official/playlist/6lPqHhFnAXJFKBsc0g2vNC,ASCAP,313169,https://app.chartmetric.com/curator/spotify?id=313169,Like the Movies,https://app.chartmetric.com/track?id=36528765,"Apr 29, 2021",7 Days in List,"May 7, 2021",66,66,547,11,2%
ASCAP New Music Friday,1982578,https://app.chartmetric.com/playlist/spotify?id=1982578,6lPqHhFnAXJFKBsc0g2vNC,ascap-official,https://open.spotify.com/user/ascap-official/playlist/6lPqHhFnAXJFKBsc0g2vNC,ASCAP,313169,https://app.chartmetric.com/curator/spotify?id=313169,I Wish You Love,https://app.chartmetric.com/track?id=36176864,"Apr 29, 2021",7 Days in List,"May 7, 2021",8,66,547,11,2%
Momentos Alhambra,2011374,https://app.chartmetric.com/playlist/spotify?id=2011374,6f2FtSdJQj2S8xZymDGZSB,cervezas_alhambra,https://open.spotify.com/user/cervezas_alhambra/playlist/6f2FtSdJQj2S8xZymDGZSB,cervezas_alhambra,323337,https://app.chartmetric.com/curator/spotify?id=323337,Best Friend,https://app.chartmetric.com/track?id=33192213,"Mar 11, 2021",56 Days in List,"May 7, 2021",79,541,515,10,2%
Other side of your pillow (cus it’s chill),2616109,https://app.chartmetric.com/playlist/spotify?id=2616109,4zejAzqPIniGhiJqeZdk1P,1256068792,https://open.spotify.com/user/1256068792/playlist/4zejAzqPIniGhiJqeZdk1P,JJ Tanaka,14508900,https://app.chartmetric.com/curator/spotify?id=14508900,Best Friend,https://app.chartmetric.com/track?id=33192213,"Apr 19, 2021",17 Days in List,"May 7, 2021",380,846,511,null,
The Sound of Stanford University,2306042,https://app.chartmetric.com/playlist/spotify?id=2306042,3ndbufssDIhp5ooelwycnk,thesoundsofspotifyschools,https://open.spotify.com/user/thesoundsofspotifyschools/playlist/3ndbufssDIhp5ooelwycnk,The Sounds of Spotify Schools,269965,https://app.chartmetric.com/curator/spotify?id=269965,Street by Street,https://app.chartmetric.com/track?id=28950552,"Apr 8, 2021",28 Days in List,"May 7, 2021",37,100,489,25,5%
Chill Funk,2573248,https://app.chartmetric.com/playlist/spotify?id=2573248,5OzbdymGDl9rg9gg53RFYZ,oudg09vlfahnutwpn62o2ufei,https://open.spotify.com/user/oudg09vlfahnutwpn62o2ufei/playlist/5OzbdymGDl9rg9gg53RFYZ,Four Times Epic,14618762,https://app.chartmetric.com/curator/spotify?id=14618762,Street by Street,https://app.chartmetric.com/track?id=28950552,"May 7, 2020",364 Days in List,"May 7, 2021",120,146,459,null,
The Sound of Boston University,2237596,https://app.chartmetric.com/playlist/spotify?id=2237596,4zYtcDyCZL7iK5KZ7xF9Qi,thesoundsofspotifyschools,https://open.spotify.com/user/thesoundsofspotifyschools/playlist/4zYtcDyCZL7iK5KZ7xF9Qi,The Sounds of Spotify Schools,269965,https://app.chartmetric.com/curator/spotify?id=269965,Street by Street,https://app.chartmetric.com/track?id=28950552,"Apr 15, 2021",21 Days in List,"May 7, 2021",58,100,436,-1,-0%
"At Home working, chilling to positive vibes",2026667,https://app.chartmetric.com/playlist/spotify?id=2026667,4rcBNhzsVACuBSAKPl73JT,terrymcbride,https://open.spotify.com/user/terrymcbride/playlist/4rcBNhzsVACuBSAKPl73JT,terrymcbride,326467,https://app.chartmetric.com/curator/spotify?id=326467,Street by Street,https://app.chartmetric.com/track?id=28950552,"Apr 7, 2021",29 Days in List,"May 7, 2021",97,242,435,10,2%
Mellow Mood,1713555,https://app.chartmetric.com/playlist/spotify?id=1713555,6F2KnITMnHK5QYttjBBpVw,icelandmusicexport,https://open.spotify.com/user/icelandmusicexport/playlist/6F2KnITMnHK5QYttjBBpVw,Iceland Music,88756,https://app.chartmetric.com/curator/spotify?id=88756,Magnolia,https://app.chartmetric.com/track?id=34065244,"Apr 7, 2021",29 Days in List,"May 7, 2021",111,118,418,8,2%
Mellow Mood,1713555,https://app.chartmetric.com/playlist/spotify?id=1713555,6F2KnITMnHK5QYttjBBpVw,icelandmusicexport,https://open.spotify.com/user/icelandmusicexport/playlist/6F2KnITMnHK5QYttjBBpVw,Iceland Music,88756,https://app.chartmetric.com/curator/spotify?id=88756,Best Friend,https://app.chartmetric.com/track?id=33192213,"Mar 4, 2021",63 Days in List,"May 7, 2021",2,118,418,8,2%
FRESH FINDS,1860802,https://app.chartmetric.com/playlist/spotify?id=1860802,3oPVNdRYi7f05t4skut3rD,4035y34yr9fw9yhtvd4xx6g6c,https://open.spotify.com/user/4035y34yr9fw9yhtvd4xx6g6c/playlist/3oPVNdRYi7f05t4skut3rD,WE GOT PLAYLISTS,269974,https://app.chartmetric.com/curator/spotify?id=269974,Magnolia,https://app.chartmetric.com/track?id=34065244,"Apr 19, 2021",17 Days in List,"May 7, 2021",40,68,417,1,0%
