Playlist,Playlist Chartmetric ID,Playlist URL,Spotify Playlist ID,Spotify User ID,Spotify Playlist URL,Curator,Curator Chartmetric ID,Curator URL,Track Name,Track URL,Date Added,Days in List,Date Removed,Position,Total Tracks,Followers,28-day Change,28-day Change Percent
New Music Friday,1645898,https://app.chartmetric.com/playlist/spotify?id=1645898,37i9dQZF1DX4JAvHpjipBk,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX4JAvHpjipBk,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Boys Make Promises,https://app.chartmetric.com/track?id=32937274,"Feb 25, 2021",7 Days in List,"Mar 4, 2021",96,100,3746281,27549,1%
New Music Friday UK,1636474,https://app.chartmetric.com/playlist/spotify?id=1636474,37i9dQZF1DX4W3aJJYCDfV,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX4W3aJJYCDfV,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Boys Make Promises,https://app.chartmetric.com/track?id=32937274,"Feb 25, 2021",7 Days in List,"Mar 4, 2021",20,102,782994,1375,0%
New Music Friday UK,1636474,https://app.chartmetric.com/playlist/spotify?id=1636474,37i9dQZF1DX4W3aJJYCDfV,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX4W3aJJYCDfV,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Funfair,https://app.chartmetric.com/track?id=33741942,"Mar 25, 2021",6 Days in List,"Mar 31, 2021",43,102,782994,1375,0%
New Music Friday UK,1636474,https://app.chartmetric.com/playlist/spotify?id=1636474,37i9dQZF1DX4W3aJJYCDfV,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX4W3aJJYCDfV,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Who,https://app.chartmetric.com/track?id=32557677,"Jan 14, 2021",7 Days in List,"Jan 21, 2021",44,102,782994,1375,0%
Fresh Finds,1645189,https://app.chartmetric.com/playlist/spotify?id=1645189,37i9dQZF1DWWjGdmeTyeJ6,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DWWjGdmeTyeJ6,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Funfair,https://app.chartmetric.com/track?id=33741942,"Apr 7, 2021",6 Days in List,"Apr 13, 2021",33,73,751998,3993,1%
Fresh Finds: Pop,1646160,https://app.chartmetric.com/playlist/spotify?id=1646160,37i9dQZF1DX3u9TSHqpdJC,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX3u9TSHqpdJC,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Boys Make Promises,https://app.chartmetric.com/track?id=32937274,"Mar 3, 2021",49 Days in List,"Apr 21, 2021",110,200,124489,2204,2%
Highlights,2352643,https://app.chartmetric.com/playlist/spotify?id=2352643,450Uhz8Hyy4iwc0Jggpkt0,3jxbwmxbh1w1umwoqytmz9yq0,https://open.spotify.com/user/3jxbwmxbh1w1umwoqytmz9yq0/playlist/450Uhz8Hyy4iwc0Jggpkt0,Top 1 Music,12239968,https://app.chartmetric.com/curator/spotify?id=12239968,Who,https://app.chartmetric.com/track?id=32557677,"Jan 23, 2021",74 Days in List,"Apr 7, 2021",21,40,35288,18766,53%
Alt. Pop.,1742986,https://app.chartmetric.com/playlist/spotify?id=1742986,37i9dQZF1DXdfR43X3iEzK,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DXdfR43X3iEzK,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Who,https://app.chartmetric.com/track?id=32557677,"Feb 1, 2021",34 Days in List,"Mar 7, 2021",30,50,34364,609,2%
Alt. Pop.,1742986,https://app.chartmetric.com/playlist/spotify?id=1742986,37i9dQZF1DXdfR43X3iEzK,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DXdfR43X3iEzK,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Boys Make Promises,https://app.chartmetric.com/track?id=32937274,"Mar 1, 2021",46 Days in List,"Apr 16, 2021",1,50,34364,609,2%
Alt. Pop.,1742986,https://app.chartmetric.com/playlist/spotify?id=1742986,37i9dQZF1DXdfR43X3iEzK,spotify,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DXdfR43X3iEzK,Spotify,2,https://app.chartmetric.com/curator/spotify?id=2,Who,https://app.chartmetric.com/track?id=32557677,"Mar 8, 2021",39 Days in List,"Apr 16, 2021",30,50,34364,609,2%
