,variable,entity,category,pathway,scenario,model,source,source_name,source_year,unit
Numbers|Ones__Historic__Numbers_2020,Numbers|Ones,Numbers,Ones,Historic,Historic,,Numbers_2020,,,m
Numbers|Fives__Historic__Numbers_2020,Numbers|Fives,Numbers,Fives,Historic,Historic,,Numbers_2020,,,m
Numbers|Twos__Historic__Numbers_2020,Numbers|Twos,Numbers,Twos,Historic,Historic,,Numbers_2020,,,m
