cluster,celltype,0
1,OT,820
2,EX,678
3,IN,518
4,EX,88
5,EX,236
6,EX,736
7,EX,224
8,OT,182
9,EX,918
10,EX,34
11,EX,784
12,EX,238
13,OT,90
14,EX,812
15,EX,74
16,EX,2120
17,EX,2240
18,EX,630
19,EX,210
20,EX,1016
21,EX,1496
22,EX,432
23,EX,1354
24,OT,344
25,EX,478
