cluster,celltype,0
1.0,NA,95
5.0,IN,4317
7.0,NA,103
8.0,NA,3005
9.0,NA,246
15.0,IN,1231
16.0,MG,388
19.0,AC,1300
21.0,OG,1427
23.0,NA,2
25.0,NA,61
26.0,NA,370
27.0,NA,459
29.0,EX,514
30.0,NA,33
