,float_words
0,Growth
1,
2,Brutto
3,Sku
4,Currency
5,Estimate
6,Tolerance
7,Variance
8,Promotional
9,Smu
10,Credit
11,Processcosts
12,Buom
13,Fees
14,Costs
15,Pricing
16,Variances
17,Turnover
18,Profit
19,Tax
20,Euf
21,Eur
22,Provision
23,Discounts
24,Revenue
25,Netto
26,Promrebates
27,Brutto
28,Suspprice
29,Payment
30,Amounts
31,Net
32,Promotion
33,Lost
34,Cost
35,Rebate
36,Markup
37,Ton
38,Kpi
39,Discount
40,Kg
41,Promo
42,Bonus
43,Eun
44,Weight
45,Charge
46,Fee
47,Pct
48,Price
