Indicator name;Reward value
Best path without transition constraint;13721.492254257202
sub-26-12 then do nothing;13753.667264938354
Best possible path with game rules;13753.667264938354
Do Nothing in ref topo;17119.343116760254
Best possible path with game rules and no overload;
