league,livescore,footballapi,fun88,bbc,infobetting,short
epl,AFC Bournemouth,AFC Bournemouth,,,,Bournemouth
epl,Aston Villa,Aston Villa FC,,,Aston Villa,Aston Villa
epl,Arsenal,Arsenal FC,,,Arsenal,Arsenal
epl,Brighton & Hove Albion,Brighton & Hove Albion FC,,,Brighton,Brighton
epl,Burnley,Burnley FC,,,Burnley,Burnley
epl,Cardiff City,Cardiff City FC,,,,Cardiff
epl,Chelsea,Chelsea FC,,,Chelsea,Chelsea
epl,Crystal Palace,Crystal Palace FC,,,Crystal Palace,Crystal Palace
epl,Everton,Everton FC,,,FC Everton,Everton
epl,Fulham,Fulham FC,,,Fulham,Fulham
epl,Huddersfield Town,Huddersfield Town AFC,,,,Huddersfield
epl,Leeds United,Leeds United FC,,,Leeds,Leeds
epl,Leicester City,Leicester City FC,,,Leicester,Leicester
epl,Liverpool,Liverpool FC,,,Liverpool FC,Liverpool
epl,Manchester City,Manchester City FC,,,Man City,Man City
epl,Manchester United,Manchester United FC,,,Man United,Man Utd
epl,Newcastle United,Newcastle United FC,,,Newcastle United,Newcastle
epl,Norwich City,Norwich City FC,,,,Norwich
epl,Sheffield United,Sheffield United FC,,,Sheffield United,Sheffield Utd
epl,Southampton,Southampton FC,,,Southampton,Southampton
epl,Tottenham Hotspur,Tottenham Hotspur FC,,,Tottenham,Spurs
epl,Watford,Watford FC,,,,Watford
epl,West Ham United,West Ham United FC,,,West Ham,West Ham
epl,West Bromwich Albion,West Bromwich Albion FC,,,West Bromwich,WBA
epl,Wolverhampton Wanderers,Wolverhampton Wanderers FC,,,Wolverhampton,Wolve
ger,FC Koln,,,1. FC Köln,1. FC Koln,Koln
ger,Arminia Bielefeld,,,Arminia Bielefeld,Arminia Bielefeld,A Bielefeld
ger,Augsburg,,,FC Augsburg,Augsburg,Augsburg
ger,Bayern Munich,,,Bayern Munich,Bayern Munich,Bayern M
ger,Borussia Dortmund,,,Borussia Dortmund,Borussia Dortmund,Dortmund
ger,Borussia Moenchengladbach,,,Borussia Mönchengladbach,Borussia Mönchengladbach,B Monchen
ger,Eintracht Frankfurt,,,Eintracht Frankfurt,Eintracht Frankfurt,Frankfurt
ger,Freiburg,,,SC Freiburg,Freiburg,Freiburg
ger,Hertha Berlin,,,Hertha Berlin,Hertha BSC,Hertha B
ger,Hoffenheim,,,1899 Hoffenheim,Hoffenheim,Hoffenheim
ger,Bayer Leverkusen,,,Bayer 04 Leverkusen,Leverkusen,Leverkusen
ger,Mainz,,,Mainz 05,Mainz 05,Mainz 05
ger,RB Leipzig,,,RB Leipzig,RB Leipzig,RB Leipzig
ger,Schalke 04,,,FC Schalke 04,Schalke 04,Schalke 04
ger,VfB Stuttgart,,,VfB Stuttgart,Stuttgart,Stuttgart
ger,Union Berlin,,,1. FC Union Berlin,Union Berlin,Union Berlin
ger,Werder Bremen,,,Werder Bremen,Werder,Werder
ger,Wolfsburg,,,VfL Wolfsburg,Wolfsburg,Wolfsburg
esp,Athletic Bilbao,,,Athletic Bilbao,Athletic Bilbao,Ath Bilbao
esp,Atletico Madrid,,,Atlético Madrid,Atletico Madrid,Atl Madrid
esp,Barcelona,,,Barcelona,Barcelona,Barcelona
esp,Cadiz,,,Cádiz,Cádiz,Cadiz
esp,Celta Vigo,,,Celta Vigo,Celta Vigo,Celta Vigo
esp,Deportivo Alaves,,,Alavés,Alaves,Alaves
esp,Eibar,,,Eibar,Eibar,Eibar
esp,Elche,,,Elche,Elche,Elche
esp,Getafe,,,Getafe,Getafe,Getafe
esp,Granada,,,Granada,Granada CF,Granada
esp,Levante,,,Levante,Levante,Levante
esp,Osasuna,,,Osasuna,Osasuna,Osasuna
esp,Real Betis,,,Real Betis,Real Betis,Real Betis
esp,Real Madrid,,,Real Madrid,Real Madrid,Real Madrid
esp,Real Sociedad,,,Real Sociedad,Real Sociedad,Real Sociedad
esp,Real Valladolid,,,Real Valladolid,Valladolid,Valladolid
esp,SD Huesca,,,Huesca,Huesca,Huesca
esp,Sevilla,,,Sevilla,Sevilla,Sevilla
esp,Valencia,,,Valencia,Valencia,Valencia
esp,Villarreal,,,Villarreal,Villarreal,Villarreal
fra,Angers,,,Angers,Angers,
fra,Bordeaux,,,Bordeaux,Bordeaux,
fra,Brest,,,Brest,Stade Brestois,
fra,Dijon,,,Dijon,Dijon,
fra,Lens,,,Lens,Lens,
fra,Lille,,,Lille,Lille,
fra,Lorient,,,Lorient,Lorient,
fra,Lyon,,,Lyon,Lyon,
fra,Marseille,,,Marseille,Marseille,
fra,Metz,,,Metz,Metz,
fra,Monaco,,,Monaco,Monaco,
fra,Montpellier,,,Montpellier,Montpellier,
fra,Nantes,,,Nantes,Nantes,
fra,Nice,,,Nice,Nice,
fra,Nimes,,,Nîmes,Nimes,
fra,Paris Saint-Germain,,,Paris Saint Germain,Paris St. Germain,PSG
fra,Reims,,,Reims,Reims,
fra,Rennes,,,Rennes,Rennes,
fra,Saint-Etienne,,,Saint-Étienne,St. Etienne,
fra,Strasbourg,,,Strasbourg,Strasbourg,
ita,AC Milan,,,AC Milan,Milan,
ita,Atalanta,,,Atalanta,Atalanta,
ita,Benevento,,,Benevento,Benevento,
ita,Bologna,,,Bologna,Bologna,
ita,Cagliari,,,Cagliari,Cagliari,
ita,Crotone,,,Crotone,Crotone,
ita,Fiorentina,,,Fiorentina,Fiorentina,
ita,Genoa,,,Genoa,Genoa,
ita,Inter,,,Inter Milan,Inter,
ita,Juventus,,,Juventus,Juventus,
ita,Lazio,,,Lazio,Lazio,
ita,Napoli,,,Napoli,Napoli,
ita,Parma,,,Parma,Parma,
ita,Roma,,,Roma,Roma,
ita,Sampdoria,,,Sampdoria,Sampdoria,
ita,Sassuolo,,,Sassuolo,Sassuolo,
ita,Spezia,,,Spezia,Spezia,
ita,Torino,,,Torino,Torino,
ita,Udinese,,,Udinese,Udinese,
ita,Verona,,,Hellas Verona,Verona,
