cluster,celltype,0
1,OT,6070
2,EX,1726
3,EX,1474
4,EX,535
5,IN,1047
6,OT,560
7,EX,213
8,EX,329
9,IN,1671
10,EX,723
11,IN,715
12,IN,1784
13,EX,2383
14,IN,1251
15,EX,1168
16,EX,1226
17,EX,288
18,EX,435
19,EX,141
20,EX,1703
21,EX,3632
22,EX,246
23,EX,3355
24,OT,1278
25,EX,7991
26,OT,4092
27,OT,617
