cluster,celltype,0
1,OT,820
2,OG,678
3,OT,518
4,OT,88
5,OG,236
6,OG,736
7,OG,224
8,OT,182
9,OT,918
10,IN,34
11,OT,784
12,OT,238
13,OT,90
14,OT,812
15,OT,74
16,OT,2120
17,OT,2240
18,OT,630
19,OT,210
20,OT,1016
21,OT,1496
22,OG,432
23,OT,1354
24,OT,344
25,OT,478
